id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_anatomy,A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,True,True
1,mmlu_anatomy,"A ""dished face"" profile is often associated with",False,False
2,mmlu_anatomy,Which of the following best describes the structure that collects urine in the body?,True,False
3,mmlu_anatomy,Which of the following structures is derived from ectomesenchyme?,True,False
4,mmlu_anatomy,Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?,True,True
5,mmlu_anatomy,A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,False,False
6,mmlu_anatomy,Which of the following anatomical regions of abdomen lies just distal to the sternum?,True,True
7,mmlu_anatomy,Which of the following best describes the human body's defense mechanism against environmental bacteria?,True,True
8,mmlu_anatomy,The palatine processes begin to fuse at,False,False
9,mmlu_anatomy,Primary motor cortex activity results in,False,True
10,mmlu_anatomy,You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the,True,False
11,mmlu_anatomy,A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?,True,False
12,mmlu_anatomy,Which of the following statements is true of the temporomandibular joint?,False,False
13,mmlu_anatomy,Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because,False,False
14,mmlu_anatomy,Which one of the following statements about the growth of the mandible is correct?,False,False
15,mmlu_anatomy,Which of the following statements is true of the pupillary light reflex?,True,True
16,mmlu_anatomy,Which muscles are normally active during quiet inspiration?,True,True
17,mmlu_anatomy,Male hormones are produced by which of the following?,True,True
18,mmlu_anatomy,Oxygenated blood is carried to the heart by which of the following structures?,False,False
19,mmlu_anatomy,Which of the following allows air to pass into the lungs?,True,True
20,mmlu_anatomy,Where is the sinoatrial node located?,True,False
21,mmlu_anatomy,"In relation to the rib, the corresponding intercostal nerve lies",False,False
22,mmlu_anatomy,The regional lymphatic drainage of the left side of the tip of the tongue is to the,True,True
23,mmlu_anatomy,Gastrulation is the process of,False,True
24,mmlu_anatomy,The spheno-occipital synchondrosis,False,True
25,mmlu_anatomy,Which of the following substances is found in greater quantity in exhaled air?,False,False
26,mmlu_anatomy,Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?,True,True
27,mmlu_anatomy,A pulse may be felt on a patient's face where the,True,False
28,mmlu_anatomy,A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?,True,True
29,mmlu_anatomy,Which statement concerning the atrioventricular bundle is correct?,True,False
30,mmlu_anatomy,Which of the following terms describes the motion of bending the forearm toward the body?,True,True
31,mmlu_anatomy,Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,True,False
32,mmlu_anatomy,At which of the following locations does bile enter the digestive tract?,True,True
33,mmlu_anatomy,In which of the following positions does a patient lie face down?,False,False
34,mmlu_anatomy,Complete bilateral cleft palate is due to failure of fusion of the,False,True
35,mmlu_anatomy,The auditory tube,False,False
36,mmlu_anatomy,Which of the following is the lymphoid organ that is a reservoir for red blood cells and filters organisms from the blood?,True,True
37,mmlu_anatomy,Which of the following cavities are separated by the diaphragm?,True,True
38,mmlu_anatomy,The walls of bronchioles contain,True,False
39,mmlu_anatomy,"Which of the following organs removes bilirubin from the blood, manufactures plasma proteins, and is involved with the production of prothrombin and fibrinogen?",True,True
40,mmlu_anatomy,Which of the following conditions is characterized by incompetence of the esophageal sphincter?,True,True
41,mmlu_anatomy,The muscles of the soft palate are innervated by branches of the,False,False
42,mmlu_anatomy,Which of the following is the large bone found superior to the patella and inferior to the ischium?,True,True
