id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_clinical_knowledge,What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,True,False
1,mmlu_clinical_knowledge,The key attribute in successful marathon running is:,False,True
2,mmlu_clinical_knowledge,Which of the following is the commonest cause of dementia in the UK?,True,False
3,mmlu_clinical_knowledge,Which of the following is NOT a symptom of anaphylaxis?,True,True
4,mmlu_clinical_knowledge,In what situation are closed pouches applied?,False,True
5,mmlu_clinical_knowledge,With an increasing number of sprints the:,False,True
6,mmlu_clinical_knowledge,Which of the following is true in diplopia?,False,True
7,mmlu_clinical_knowledge,Sodium bicarbonate ingestion improves middle distance running performance by:,True,False
8,mmlu_clinical_knowledge,Codons are composed of:,True,False
9,mmlu_clinical_knowledge,Fatty acids are transported into the mitochondria bound to:,False,False
10,mmlu_clinical_knowledge,Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,True,True
11,mmlu_clinical_knowledge,Which of the following is true of a lower motor neurone lesion in the arm?,False,False
12,mmlu_clinical_knowledge,Which of the following statements is false?,False,True
13,mmlu_clinical_knowledge,Glycogen breakdown in muscle initially results in the formation of:,True,False
14,mmlu_clinical_knowledge,The two principal contractile proteins found in skeletal muscle are:,True,True
15,mmlu_clinical_knowledge,Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,True,False
16,mmlu_clinical_knowledge,Which of the following is true about a thyroid swelling?,False,False
17,mmlu_clinical_knowledge,Which of the following is true of hepatomegaly?,True,False
18,mmlu_clinical_knowledge,Which of the following is true regarding reflexes?,True,False
19,mmlu_clinical_knowledge,Which of the following is true of facial nerve palsy?,True,False
20,mmlu_clinical_knowledge,What is a colles fracture?,True,True
21,mmlu_clinical_knowledge,"If a transfusion reaction is suspected, you should:",True,True
22,mmlu_clinical_knowledge,"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",True,False
23,mmlu_clinical_knowledge,Which of the following statements is true about informal carers (as of 2020)?,True,True
24,mmlu_clinical_knowledge,Which of the following processes is not used to modify protein structure after translation has occurred?,True,False
25,mmlu_clinical_knowledge,Why would you need to carry out a bladder washout for a patient at home?,False,False
26,mmlu_clinical_knowledge,A 14-16 gauge needle is most likely to be used for:,True,True
27,mmlu_clinical_knowledge,Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,True,False
28,mmlu_clinical_knowledge,In games like soccer the blood lactate concentration:,False,False
29,mmlu_clinical_knowledge,Lactate and hydrogen ions leave the muscle:,False,False
30,mmlu_clinical_knowledge,Which of the following is true of the spine?,True,True
31,mmlu_clinical_knowledge,Which of the following is true of psoriatic arthropathy?,True,False
32,mmlu_clinical_knowledge,Which of the following is true of Graves Disease of the thyroid?,True,False
33,mmlu_clinical_knowledge,Which of the following is true of calcium metabolism?,False,False
34,mmlu_clinical_knowledge,Kinase reactions:,False,True
35,mmlu_clinical_knowledge,The normal respiratory rate for an adult male is:,False,False
36,mmlu_clinical_knowledge,Collagen fibres:,True,False
37,mmlu_clinical_knowledge,Which of the following releases most energy when completely oxidised in the body?,True,False
38,mmlu_clinical_knowledge,Embedded in the inner membrane of the mitochondrion are:,False,True
39,mmlu_clinical_knowledge,"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:",False,False
40,mmlu_clinical_knowledge,A normal heart rate for an adult at rest is:,True,True
41,mmlu_clinical_knowledge,Which of the following statements is false?,False,False
42,mmlu_clinical_knowledge,Which of the following is true in ulna nerve palsy?,True,True
43,mmlu_clinical_knowledge,How much toothpaste is recommended for cleaning teeth?,False,True
44,mmlu_clinical_knowledge,Which of the following is true about Cushing's Syndrome?,True,True
45,mmlu_clinical_knowledge,The main factors determining success in sport are:,False,True
46,mmlu_clinical_knowledge,"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:",True,False
47,mmlu_clinical_knowledge,Performance enhancing synthetic steroids are based on the structure of the hormone:,True,True
48,mmlu_clinical_knowledge,Glycogen breakdown in exercising muscle is activated by:,False,False
49,mmlu_clinical_knowledge,Most of the free fatty acids are transported in the blood:,True,False
50,mmlu_clinical_knowledge,How often should a cannula be flushed?,False,True
51,mmlu_clinical_knowledge,The activity of creatine kinase is:,False,True
52,mmlu_clinical_knowledge,The smallest increments on a mercury and aneroid sphygmomanometer measure are:,True,False
53,mmlu_clinical_knowledge,Which of the following is not an abnormal breathing pattern seen in head injury and altered conscious level?,True,True
54,mmlu_clinical_knowledge,During CPR chest compressions and ventilations should be delivered in a ratio of:,True,True
55,mmlu_clinical_knowledge,A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:,False,False
56,mmlu_clinical_knowledge,An expected side effect of creatine supplementation is:,False,False
57,mmlu_clinical_knowledge,The cardiac cycle consists of the phases:,False,False
58,mmlu_clinical_knowledge,Which of the following factors does not influence success in sport?,True,False
