id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_college_biology,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",False,True
1,mmlu_college_biology,A frameshift mutation is created when,True,False
2,mmlu_college_biology,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",True,False
3,mmlu_college_biology,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,True,True
4,mmlu_college_biology,Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires,True,True
5,mmlu_college_biology,"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT:",True,True
6,mmlu_college_biology,The Barr body found within female mammalian cells' nuclei is an example of,True,True
7,mmlu_college_biology,Which of the following is NOT a source of atmospheric carbon?,True,False
8,mmlu_college_biology,The concept of punctuated equilibrium refers to,True,True
9,mmlu_college_biology,"When an influenza virus enters a cell, it immediately starts to do which of the following?",True,True
10,mmlu_college_biology,Cleavage symmetry arising from early cell divisions that occur at an oblique angle to the polar axis is known as,True,True
11,mmlu_college_biology,Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,False,False
12,mmlu_college_biology,"In Sweden, the red fox (Vulpes vulpes) severely limits populations of its prey, including hares. However, red fox populations are sometimes attacked by a fatal parasite, the mange mite. As mite population sizes increase at a given site, how are hare and fox populations most likely to respond at the same site? (Assume that hares have no major predators at this site other than foxes.)",True,False
13,mmlu_college_biology,"A cell nucleus contains which of the following?
I. DNA
II. Protein
III. RNA",False,True
14,mmlu_college_biology,"In one taxonomic classification, Archaea, Eukarya, and Bacteria represent the three major domains of life. Eukarya utilize the general transcription factors TBP (TATA-binding protein) and TFIIB in transcription, whereas Bacteria do not. At least one member of Archaea has a protein similar to TBP and a protein similar to TFIIB. Based on this observation, which of the following scenarios is most likely?",True,False
15,mmlu_college_biology,A rise in intracellular free calcium in the sea urchin oocyte causes the release of proteolytic enzymes which act to prevent polyspermy. The events just described entail the,True,False
16,mmlu_college_biology,Which of the following is a benefit that mycorrhizal fungi confer to many plants?,True,True
17,mmlu_college_biology,"Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely",False,True
18,mmlu_college_biology,Which of the following most accurately describes a retrotransposon?,True,True
19,mmlu_college_biology,The soils of which of the following biomes has the highest rate of leaching and cycling of nutrients?,True,True
20,mmlu_college_biology,Which of the following best explains why enzymes are effective in facilitating chemical reactions?,True,True
21,mmlu_college_biology,"In the growth of a population, the point at which natality and mortality rates are equal to one another is referred to as",True,True
22,mmlu_college_biology,The wings of a bat and the wings of a butterfly are,True,True
23,mmlu_college_biology,The cell type comprising the pith tissue centered within a dicot stem is the,True,False
24,mmlu_college_biology,Mobile regions of DNA capable of inserting themselves into an existing genome are,True,True
25,mmlu_college_biology,"The process in which pioneer species colonize a bare substrate such as rock, sand, or glacial till is known as",True,True
26,mmlu_college_biology,Brood parasites such as the cuckoo successfully trick other species of birds into rearing their young by exploiting the host birds' instinctive response to the loud begging cues of a fledgling in their nest. The genes that allow the host bird species to be duped into rearing the cuckoo fledglings to the detriment of their own offspring most likely remain in the gene pool of the population because,True,False
27,mmlu_college_biology,"Cell motility, as viewed in a cultured fibroblast, encompasses all of the following EXCEPT",True,False
28,mmlu_college_biology,"According to Hamilton’s rule, an altruistic trait can evolve if c < br, where c is the fitness cost of the altruistic behavior to the donor, b is the fitness benefit to the recipient, and r is the",True,False
29,mmlu_college_biology,Adaptations of plants to minimize water loss in environments with high temperatures include which of the following?,True,False
30,mmlu_college_biology,All of the following might be found in connective tissue EXCEPT,True,False
31,mmlu_college_biology,Which of the following is typically NOT found in normal somatic cells of a human male?,True,True
32,mmlu_college_biology,"The members of a bird species capable of nesting in treetops or on the ledges of nearby cliffs make their homes only in the treetops due to the established presence of a more aggressive bird species on the cliff ledges. With respect to habitat, the treetop-nesting birds are utilizing",True,False
33,mmlu_college_biology,All of the following characteristics are typical of r-selected species EXCEPT,True,False
34,mmlu_college_biology,A DNA strand with the sequence 5′ CGA TTG 3′ would be complementary to the sequence,False,False
