id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_college_chemistry,"The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?",True,True
1,mmlu_college_chemistry,Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because,True,True
2,mmlu_college_chemistry,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,False,False
3,mmlu_college_chemistry,"When the following equation is balanced, which of the following is true?
__ MnO4− + __ I− + __ H+ <-> __ Mn2+ + __ IO3− + __ H2O",False,True
4,mmlu_college_chemistry,The equation ΔH = ΔU + PΔV is applicable,False,False
5,mmlu_college_chemistry,Nitronyl nitroxides are stable radicals in which the unpaired electron is coupled to two equivalent nitrogen nuclei. How many lines will appear in the EPR spectrum of a solution of a rigid nitronyl nitroxide diradical with J << a?,True,False
6,mmlu_college_chemistry,Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?,True,True
7,mmlu_college_chemistry,Which of the following is required for both paramagnetism and ferromagnetism?,True,True
8,mmlu_college_chemistry,"The 1H spectrum of a mixture of dimethylsulphoxide (DMSO) and acetonitrile (AN) contains lines with relative intensities α and 3α, respectively. What is the ratio of the two concentrations, [DMSO]:[AN]?",False,False
9,mmlu_college_chemistry,Which of the following statements most accurately explains why the T1 of a nucleus is sometimes longer than its T2?,False,False
10,mmlu_college_chemistry,The 1H Larmor frequency of benzene exceeds that of trifluoroacetic acid by 1.656 kHz on a 400 MHz spectrometer. The 1H chemical shift of benzene is 7.16 ppm. What is the chemical shift of trifluoroacetic acid?,False,False
11,mmlu_college_chemistry,"Suppose that the 13C nuclei in a molecule in a 600 MHz spectrometer can be 100% polarized (p = 1). If T1 = 5.0 s, how long does it take for p to reach a value equal to twice the thermal equilibrium polarization at 298 K?",False,False
12,mmlu_college_chemistry,Estimate the β-hyperfine value for the cyclobutyl radical (C4H7•) assuming the radical is flat and the HCH angle is 115°.,False,False
13,mmlu_college_chemistry,What is the ratio of line intensities in the EPR spectrum of the t-Bu radical (CH3)3C•?,False,False
14,mmlu_college_chemistry,Which one sentence explains most accurately why spin trapping is often used to detect free radical intermediates?,False,False
15,mmlu_college_chemistry,Calculate the magnetic moment (μI) of a 13C nucleus.,False,False
16,mmlu_college_chemistry,"The normal modes of a carbon dioxide molecule that are infrared-active include which of the following?
I. Bending
II. Symmetric stretching
III. Asymmetric stretching",True,True
17,mmlu_college_chemistry,Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?,False,True
18,mmlu_college_chemistry,Which one of the following statements is true:,False,False
19,mmlu_college_chemistry,Calculate the Larmor frequency for a proton in a magnetic field of 1 T.,False,True
20,mmlu_college_chemistry,Which of the following is an n-type semiconductor?,True,True
21,mmlu_college_chemistry,Which of the following statements most accurately explains why the 1H spectrum of 12CHCl3 is a singlet?,False,False
22,mmlu_college_chemistry,"At 25°C, the maximum amount of PbI2 that can be dissolved in 1.00 L of pure water is 1.0 mmol. Assuming complete dissociation, the solubility product, K_sp, for lead iodide at 25°C is",True,True
23,mmlu_college_chemistry,The 13C spectrum of which isomer of C6H14 has lines with five distinct chemical shifts?,True,True
24,mmlu_college_chemistry,Which of the following is the most common naturally-occurring form in which silicon is found?,True,True
25,mmlu_college_chemistry,Which nuclide has an NMR frequency of 115.5 MHz in a 20.0 T magnetic field?,False,False
26,mmlu_college_chemistry,"Which of the following must be true about a binary liquid mixture that obeys Raoult’s law?
I. The partial pressure of each component at equilibrium is proportional to its mole fraction in the liquid mixture.
II. The volume of the mixture is equal to the sum of the volumes of each component before mixing.
III. Intermolecular interactions in the mixture are identical to intermolecular interactions in the pure components.",False,True
27,mmlu_college_chemistry,A single line is seen in the 31P spectrum of a solution of sodium phosphate. The 31P chemical shifts of H2PO4‾ and HPO42– are 3.42 ppm and 5.82 ppm respectively. What is the chemical shift when the pH of the solution equals the pKa of H2PO4‾?,False,False
