id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_college_physics,"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons",False,False
1,mmlu_college_physics,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",True,False
2,mmlu_college_physics,Which of the following is true about any system that undergoes a reversible thermodynamic process?,True,False
3,mmlu_college_physics,The best type of laser with which to do spectroscopy over a range of visible wavelengths is,True,False
4,mmlu_college_physics,Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following?,False,True
5,mmlu_college_physics,Which of the following gives the total spin quantum number of the electrons in the ground state of neutral nitrogen (Z = 7)?,False,False
6,mmlu_college_physics,"Consider three identical, ideal capacitors. The first capacitor is charged to a voltage and then disconnected from the battery. The other two capacitors, initially uncharged and connected in series, are then connected across the first capacitor. What is the final voltage on the first capacitor?",False,False
7,mmlu_college_physics,"Protons used in cancer therapy are typically accelerated to about 0.6c. How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",False,False
8,mmlu_college_physics,De Broglie hypothesized that the linear momentum and wavelength of a free massive particle are related by which of the following constants?,True,True
9,mmlu_college_physics,"If the total energy of a particle of mass m is equal to twice its rest energy, then the magnitude of the particle’s relativistic momentum is",False,False
10,mmlu_college_physics,"In the diamond structure of elemental carbon, the nearest neighbors of each C atom lie at the corners of a",False,False
11,mmlu_college_physics,The coefficient of static friction between a small coin and the surface of a turntable is 0.30. The turntable rotates at 33.3 revolutions per minute. What is the maximum distance from the center of the turntable at which the coin will not slide?,False,False
12,mmlu_college_physics,The sign of the charge carriers in a doped semiconductor can be deduced by measuring which of the following properties?,True,True
13,mmlu_college_physics,The primary source of the Sun’s energy is a series of thermonuclear reactions in which the energy produced is c^2 times the mass difference between,True,False
14,mmlu_college_physics,Electromagnetic radiation provides a means to probe aspects of the physical universe. Which of the following statements regarding radiation spectra is NOT correct?,True,False
15,mmlu_college_physics,Which of the following statements about bosons and/or fermions is true?,True,True
16,mmlu_college_physics,Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following?,False,True
17,mmlu_college_physics,"One end of a horizontal, massless spring is attached to a wall. A mass of 0.30 kg is attached to the other end of the spring and rests on a table. The mass is displaced 0.030 m from its equilibrium position and released. It has a speed of 0.040 m/s as it passes through its equilibrium position. In the absence of friction, what is the total mechanical energy of the system?",False,False
18,mmlu_college_physics,"A meter stick with a speed of 0.8c moves past an observer. In the observer’s reference frame, how long does it take the stick to pass the observer ?",True,True
19,mmlu_college_physics,"Protons used in cancer therapy are typically accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",False,False
20,mmlu_college_physics,"Characteristic X rays, appearing as sharp lines on a continuous background, are produced when high-energy electrons bombard a metal target. Which of the following processes results in the characteristic X rays?",True,False
21,mmlu_college_physics,An atom has filled n = 1 and n = 2 levels. How many electrons does the atom have?,False,False
22,mmlu_college_physics,"Light from a laser falls on a pair of very narrow slits separated by 0.5 micrometer, and bright fringes separated by 1.0 millimeter are observed on a distant screen. If the frequency of the laser light is doubled, what will be the separation of the bright fringes?",False,True
23,mmlu_college_physics,"Assume that the solar flux at Earth’s surface is 1,000 W/m^2 and that the sunlight is normal to a completely reflecting surface with an area of 3 m^2. What is the total radiation force exerted on the surface?",True,True
24,mmlu_college_physics,The sign of the charge carriers in a doped semiconductor can be deduced by measuring which of the following properties?,True,True
25,mmlu_college_physics,Which of the following ions CANNOT be used as a dopant in germanium to make an n-type semiconductor?,True,True
26,mmlu_college_physics,An astronomer observes a very small moon orbiting a planet and measures the moon’s minimum and maximum distances from the planet’s center and the moon’s maximum orbital speed. Which of the following CANNOT be calculated from these measurements?,True,True
27,mmlu_college_physics,A rod measures 1.00 m in its rest system. How fast must an observer move parallel to the rod to measure its length to be 0.80 m?,False,False
28,mmlu_college_physics,"A proton moves in the +z-direction after being accelerated from rest through a potential difference V. The proton then passes through a region with a uniform electric field E in the +x-direction and a uniform magnetic field B in the +y-direction, but the proton’s trajectory is not affected. If the experiment were repeated using a potential difference of 2V, the proton would then be",False,False
29,mmlu_college_physics,"A magnetic field is directed perpendicular to the plane of a circular coil of area 0.2 m^2 and 250 turns. If the magnetic field is increased from 0.01 T to 0.06 T during a time interval of 0.25 s, the average induced EMF in the coil is",False,False
30,mmlu_college_physics,Light of variable frequency shines on the metal surface of a photoelectric tube. Einstein’s theory of the photoelectric effect predicts that the,True,False
31,mmlu_college_physics,"If the Sun were suddenly replaced by a black hole of the same mass, it would have a Schwarzschild radius of 3,000 m. What effect, if any, would this change have on the orbits of the planets?",True,False
32,mmlu_college_physics,"At 20°C, a pipe open at both ends resonates at a frequency of 440 hertz. At what frequency does the same pipe resonate on a particularly cold day when the speed of sound is 3 percent lower than it would be at 20°C ?",False,True
33,mmlu_college_physics,"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons",False,False
34,mmlu_college_physics,A three-dimensional harmonic oscillator is in thermal equilibrium with a temperature reservoir at temperature T. The average total energy of the oscillator is,False,False
35,mmlu_college_physics,"A student makes 10 one-second measurements of the disintegration of a sample of a long-lived radioactive isotope and obtains the following values: 3, 0, 2, 1, 2, 4, 0, 1, 2, 5. How long should the student count to establish the rate to an uncertainty of 1 percent?",False,False
36,mmlu_college_physics,"By definition, the electric displacement current through a surface S is proportional to the",False,False
37,mmlu_college_physics,"The negative muon, mu^-, has properties most similar to which of the following?",True,False
38,mmlu_college_physics,The speed of light inside of a nonmagnetic dielectric material with a dielectric constant of 4.0 is,False,False
39,mmlu_college_physics,"The energy from electromagnetic waves in equilibrium in a cavity is used to melt ice. If the Kelvin temperature of the cavity is increased by a factor of two, the mass of ice that can be melted in a fixed amount of time is increased by a factor of",False,False
40,mmlu_college_physics,"A resistor in a circuit dissipates energy at a rate of 1 W. If the voltage across the resistor is doubled, what will be the new rate of energy dissipation?",False,False
41,mmlu_college_physics,"A gas cell with an optical path length of 10 cm is placed in one arm of a Michelson interferometer. If the light source for the interferometer is a laser with wavelength 632.2 nm, then 100 fringes are counted as the gas cell is evacuated. What is the index of refraction of the original gas?",False,False
