id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_computer_security,Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program?,True,False
1,mmlu_computer_security,"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?
1. An attacker replaying bytes that a client sent earlier.
2. An attacker impersonating the server.",True,False
2,mmlu_computer_security,MIT’s Kerberos KDC server has a maximum ticket lifetime of 24 hours (for most user principals). What ensures that an expired Kerberos ticket can no longer be used?,True,False
3,mmlu_computer_security,"In Message Condentiality, the transmitted message must make sense to only intended",True,False
4,mmlu_computer_security,Which of the following is a remote Trojan?,True,True
5,mmlu_computer_security,______________ is a widespread app’s coding mistake made by developers which could be exploited by an attacker for gaining access or malfunctioning your system.,False,True
6,mmlu_computer_security,"Consider the paper Native Client: A Sandbox for Portable, Untrusted x86 Native Code by Yee et al. Ben Bitdiddle notes that NaCl uses Intel x86 segmentation to ensure that the sandboxed module does not read or write memory outside its own data area, and does not execute instructions outside its own code. Ben thinks that with these restrictions alone, executing the sandboxed module must be safe; that is, he thinks validation is not needed. Ben is wrong. Circle the types of x86 machine instructions that the validator always forbids in sandboxed code. Please ignore trampoline and springboard code.",True,False
7,mmlu_computer_security,____________ is also a part of darknet that is employed for transferring files anonymously.,True,True
8,mmlu_computer_security,"Why apps developed in languages like C, C++ is prone to Buffer-overflow?",True,True
9,mmlu_computer_security,Man in the middle attack can endanger the security of Diffie Hellman method if two parties are not,False,True
10,mmlu_computer_security,An integer overflow occurs when,False,False
11,mmlu_computer_security,"Let HH be a Merkle-Damgard hash function is H:X^{\leq L} \to TH:X^≤L  →T. Construct a MAC from this HH as follows: \ \ S(k,m) = H(k \| m)  S(k,m)=H(k∥m). This mac is insecure because:",False,False
12,mmlu_computer_security,"Suppose that Alice and Bob sent confidential text messages to one another last month through an encrypted messaging system. Alice and Bob are worried that an adversary might compromise one of their computers today, while they are taking the 6.858 final exam, and would then be able to decrypt those messages. Which of the following security properties can address Alice and Bob’s concern?",True,False
13,mmlu_computer_security,"The AH Protocol provides source authentication and data integrity, but not",False,False
14,mmlu_computer_security,Which of the following is not a security exploit?,True,False
15,mmlu_computer_security,_______________ is the central node of 802.11 wireless operations.,True,True
16,mmlu_computer_security,In MD-5 the length of the message digest is,False,True
17,mmlu_computer_security,What is Nmap?,True,False
18,mmlu_computer_security,How do you prevent SQL injection?,True,False
19,mmlu_computer_security,"What does it mean to ""be stealthy"" during a penetration test?",True,True
20,mmlu_computer_security,Which of the following is not a transport layer vulnerability?,True,False
21,mmlu_computer_security,"In Brumley and Boneh’s paper on side-channel attacks, why does blinding prevent the timing attack from working?",True,True
22,mmlu_computer_security,"The openSSL implementation described in “Remote Timing Attacks are Practical” (by Brumley and Boneh) uses the following performance optimizations: Chinese Remainder (CR), Montgomery Representation (MR), Karatsuba Multiplication (KM), and Repeated squaring and Sliding windows (RS). Which of the following options would close the timing channel attack described in the paper if you turned the listed optimizations off?
1. RS and KM
2. RS and MR",False,False
23,mmlu_computer_security,Public key encryption is advantageous over Symmetric key Cryptography because of,True,True
24,mmlu_computer_security,The __________ was a huge marketplace of Dark Web specifically famous for selling of illegal drugs & narcotics as well as you can find a wide range of other goods for sale.,True,True
25,mmlu_computer_security,The ______________ is categorized as an unknown segment of the Deep Web which has been purposely kept hidden & is inaccessible using standard web browsers.,False,True
26,mmlu_computer_security,What does EXE do when the STP solver times out on a constraint query for a particular path?,False,False
27,mmlu_computer_security,To verify a digital signature we need the,True,False
28,mmlu_computer_security,Suppose you want to use fuzzing on a program to try to find memory errors; which of the following statements is true?,True,True
29,mmlu_computer_security,"Based on the paper “SoK: SSL and HTTPS: Revisiting past challenges and evaluating certificates trust model enhancements”, which of the following statements are false?",True,True
30,mmlu_computer_security,What tool can be used to perform SNMP enumeration?,False,False
31,mmlu_computer_security,Which among them has the strongest wireless security?,True,False
