id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_high_school_biology,"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of",True,True
1,mmlu_high_school_biology,Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?,True,False
2,mmlu_high_school_biology,The energy given up by electrons as they move through the electron transport chain is used to,True,True
3,mmlu_high_school_biology,"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT",True,False
4,mmlu_high_school_biology,Convergent evolution is best exemplified by which of the following?,True,True
5,mmlu_high_school_biology,Which of the following would most likely provide examples of mitotic cell divisions?,False,False
6,mmlu_high_school_biology,Invertebrate immune systems possess which of the following?,True,True
7,mmlu_high_school_biology,Two unrelated species evolve in a way that makes them more similar.,False,True
8,mmlu_high_school_biology,Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems?,True,True
9,mmlu_high_school_biology,"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations?",False,False
10,mmlu_high_school_biology,A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery?,True,True
11,mmlu_high_school_biology,"The same gene that causes various coat patterns in wild and domesticated cats also causes the cross-eyed condition in these cats, the cross-eyed condition being slightly maladaptive. In a hypothetical environment, the coat pattern that is associated with crossed eyes is highly adaptive, with the result that both the coat pattern and the cross-eyed condition increase in a feline population over time. Which statement is supported by these observations?",True,False
12,mmlu_high_school_biology,Which of the following statements is correct?,False,True
13,mmlu_high_school_biology,A gas phase is generally absent from which of the following biogeochemical cycles?,False,False
14,mmlu_high_school_biology,Which of the following is a property that is shared by Zika fever‚ West Nile fever‚ and malaria?,True,True
15,mmlu_high_school_biology,"If the HMS Beagle had completely bypassed the Galapagos Islands, Darwin would have had a much poorer understanding of the",False,True
16,mmlu_high_school_biology,Which of the following statements about lipids is correct?,False,False
17,mmlu_high_school_biology,All of the following are examples of connective tissue EXCEPT,True,False
18,mmlu_high_school_biology,The light reactions of photosynthesis supply the Calvin cycle with which of the following?,True,False
19,mmlu_high_school_biology,"When the first tiny prokaryotic cell took up residence inside a larger prokaryotic cell, it heralded the advent of the eukaryotic cell and led to an explosion of new life on Earth. Since then, most cells on Earth have internal organelles. Which of the following best summarizes an advantage of having internal membranes and organelles?",True,True
20,mmlu_high_school_biology,Which of the following is correct about vaccination?,True,True
21,mmlu_high_school_biology,"The calypso orchid, Calypso bulbosa, grows in close association with mycorrhizae fungi. The fungi penetrate the roots of the flower and take advantage of the plant's food resources. The fungi concentrate rare minerals, such as phosphates, in the roots and make them readily accessible to the orchid. This situation is an example of",False,False
22,mmlu_high_school_biology,"Mules are relatively long-lived and hardy organisms that cannot, generally speaking, perform successful meiosis. Consequently, which statement about mules is true?",True,False
23,mmlu_high_school_biology,ADH is a hormone secreted by the kidneys that reduces the amount of water excreted in the urine. ADH is released in times of dehydration. This is an example of,True,True
24,mmlu_high_school_biology,All of the following statements are true EXCEPT,False,False
25,mmlu_high_school_biology,Which of the following statements best describes what a Barr body is and its significance?,True,True
26,mmlu_high_school_biology,A heterotroph,True,True
27,mmlu_high_school_biology,Which of the following reactions occurs in the forward direction during glycolysis but in the reverse direction during fermentation?,False,False
28,mmlu_high_school_biology,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What originally caused the change in the variant?",True,True
29,mmlu_high_school_biology,Which of the following statements most accurately explains what EcoR1 is?,True,True
30,mmlu_high_school_biology,Which of the following pairs of structures is least likely to represent homology?,True,False
31,mmlu_high_school_biology,The development of an egg without fertilization is known as,True,True
32,mmlu_high_school_biology,"In minks, the gene for brown fur (B) is dominant over the gene for silver fur (b). Which set of genotypes represents a cross that could produce offspring with silver fur from parents that both have brown fur?",True,False
33,mmlu_high_school_biology,"Male satin bowerbirds adorn structures that they build, called ""bowers,"" with parrot feathers, flowers, and other bizarre ornaments in order to attract females. Females inspect the bowers and, if suitably impressed, allow males to mate with them. The evolution of this male behavior is due to",True,True
34,mmlu_high_school_biology,Which of the following best explains why a population is described as the evolutionary unit?,False,True
35,mmlu_high_school_biology,"If, on average, 46% of the loci in a species' gene pool are heterozygous, then the average homozygosity of the species should be",True,False
36,mmlu_high_school_biology,Which of these is a statement that Darwin would have rejected?,False,True
37,mmlu_high_school_biology,Which of the following contributes the MOST to genetic variability in a population?,True,True
38,mmlu_high_school_biology,Which of the following statements most detracts from the claim that the human appendix is a completely vestigial organ?,True,False
39,mmlu_high_school_biology,"According to the heterotroph hypothesis, which event had to occur before oxygen filled the atmosphere?",False,False
40,mmlu_high_school_biology,Two related species evolve in a way that makes them less similar.,True,False
41,mmlu_high_school_biology,Which of the following statements best summarizes evolution as it is viewed today?,True,True
42,mmlu_high_school_biology,Mosquitoes resistant to the pesticide DDT first appeared in India in 1959 within 15 years of widespread spraying of the insecticide. Which of the following statement best explains how the resistant mosquitoes arose?,True,False
43,mmlu_high_school_biology,DNA sequences in many human genes are very similar to the sequences of corresponding genes in chimpanzees. The most likely explanation for this result is that,True,True
44,mmlu_high_school_biology,Yeast cells carry out both aerobic and anaerobic respiration. A yeast cell that is fed on glucose is moved from an aerobic to an anaerobic environment. Which of the following statements is correct and gives the correct reason for it?,True,True
45,mmlu_high_school_biology,A researcher conducts a survey of a biome and finds 35 percent more species than she has found in any other biome. Which biome is she most likely to be in?,True,True
46,mmlu_high_school_biology,Which statement about variation is true?,False,False
47,mmlu_high_school_biology,Which of the following best explains why people can digest starch but cannot digest cellulose even though both molecules are composed of glucose monomers?,True,True
48,mmlu_high_school_biology,"In humans, fertilization normally occurs in the",True,True
49,mmlu_high_school_biology,Which of the following is a biotic factor that could affect the growth rate of a population?,False,False
50,mmlu_high_school_biology,"As a young biologist, Charles Darwin had expected the living plants of temperate South America would resemble those of temperate Europe, but he was surprised to find that they more closely resembled the plants of tropical South America. The biological explanation for this observation is most properly associated with the field of",True,True
51,mmlu_high_school_biology,"It has been observed that organisms on islands are different from, but closely related to, similar forms found on the nearest continent. This is taken as evidence that",False,False
52,mmlu_high_school_biology,The Krebs cycle in humans occurs in the,True,False
53,mmlu_high_school_biology,"Ichthyosaurs were aquatic dinosaurs. Fossils show us that they had dorsal fins and tails, as do fish, even though their closest relatives were terrestrial reptiles that had neither dorsal fins nor aquatic tails. The dorsal fins and tails of ichthyosaurs and fish are",True,True
54,mmlu_high_school_biology,During which phase of the cell cycle does the quantity of DNA in a eukaryotic cell typically double?,True,False
55,mmlu_high_school_biology,"Two trees of the same species growing close together will use the same resources, such as light, water, and nutrients. If any of these resources becomes limiting, then each tree will receive less of it than if the trees were growing farther apart. This scenario is an example of which of the following?",True,True
56,mmlu_high_school_biology,Short sequence by promoter that assists transcription by interacting with regulatory proteins.,False,False
57,mmlu_high_school_biology,"Catastrophism, meaning the regular occurrence of geological or meteorological disturbances (catastrophes), was Cuvier's attempt to explain the existence of",True,False
58,mmlu_high_school_biology,Hydrangea flowers have one gene for flower color. Plants of the same genetic variety have flowers that range in color from blue to pink with the color varying due to the type of soil in which they are grown. Which of the following statement best explains this phenomenon?,True,False
59,mmlu_high_school_biology,"When imbalances occur in the sex ratio of sexual species that have two sexes (i.e., other than a 50:50 ratio), the members of the minority sex often receive a greater proportion of care and resources from parents than do the offspring of the majority sex. This is most clearly an example of",True,False
60,mmlu_high_school_biology,"Although mutations occur at a regular and predictable rate, which of the following statements is the LEAST likely reason the frequency of mutation appears to be low?",True,False
61,mmlu_high_school_biology,Crossover would most likely occur in which situation?,False,False
62,mmlu_high_school_biology,Which aspects of cell structure best reveals the unity of all life?,True,False
63,mmlu_high_school_biology,This biome contains plants whose roots cannot go deep due to the presence of a permafrost.,False,False
64,mmlu_high_school_biology,This biome contains trees that drop their leaves during the winter months.,True,True
65,mmlu_high_school_biology,A change in a neuron membrane potential from +50 millivolts to -70 millivolts is considered,True,False
66,mmlu_high_school_biology,All of the following play a role in morphogenesis EXCEPT,True,False
67,mmlu_high_school_biology,"Most animal cells, regardless of species, are relatively small and about the same size. Relative to larger cells, why is this?",False,False
68,mmlu_high_school_biology,Which of the following is (are) required when performing a polymerase chain reaction (P C R) on a DNA sample?,True,True
69,mmlu_high_school_biology,"Each of the following has a better chance of influencing gene frequencies in small populations than in large populations, but which one most consistently requires a small population as a precondition for its occurrence?",True,True
70,mmlu_high_school_biology,"No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is",False,False
71,mmlu_high_school_biology,"Two genes (B and E) determine coat color in Labrador retrievers. Alleles B and b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E and e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E or e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.",False,False
72,mmlu_high_school_biology,Which of the following statements is NOT correct about ancient Earth?,True,False
73,mmlu_high_school_biology,"In modern terminology, diversity is understood to be a result of genetic variation. Sources of variation for evolution include all of the following except",True,False
74,mmlu_high_school_biology,"DDT was once considered a ""silver bullet"" that would permanently eradicate insect pests. Today, instead, DDT is largely useless against many insects. Which of these would have been required for this pest eradication effort to be successful in the long run?",True,True
75,mmlu_high_school_biology,"Within a few weeks of treatment with the drug 3TC, a patient's HIV population consists entirely of 3TC-resistant viruses. How can this result best be explained?",True,False
76,mmlu_high_school_biology,"The higher the proportion of loci that are ""fixed"" in a population, the lower is that population's",True,True
77,mmlu_high_school_biology,The resting membrane potential depends on which of the following? I. Active transport II. Selective permeability III. Differential distribution of ions across the axonal membrane,False,True
78,mmlu_high_school_biology,Which of the following statements about the light-dependent reactions of photosynthesis is correct?,True,False
79,mmlu_high_school_biology,"When we say that an individual organism has a greater fitness than another individual, we specifically mean that the organism",True,True
80,mmlu_high_school_biology,Most Swiss starlings produce four to five eggs in each clutch. Those producing fewer or more than this have reduced fitness. Which of the following terms best describes this?,True,False
81,mmlu_high_school_biology,Members of two different species possess a similar-looking structure that they use in a similar fashion to perform the same function. Which information would best help distinguish between an explanation based on homology versus one based on convergent evolution?,True,True
82,mmlu_high_school_biology,"When driving from east to west in the U.S. from a forest ecosystem to grasslands, trees gradually give way to grasses. Which of the following is the critical factor responsible for this shift?",True,False
83,mmlu_high_school_biology,"Within a cell, the amount of protein synthesized using a given mRNA molecule depends in part on which of the following?",False,False
84,mmlu_high_school_biology,All of the following are modes of asexual reproduction EXCEPT,True,False
85,mmlu_high_school_biology,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?",False,False
86,mmlu_high_school_biology,Which of the following statements about cellular respiration is correct?,True,True
87,mmlu_high_school_biology,Which of the following principles is NOT part of Darwin's theory of evolution by natural selection?,True,False
88,mmlu_high_school_biology,"In Darwin's thinking, the more closely related two different organisms are, the",True,True
89,mmlu_high_school_biology,Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?,True,True
90,mmlu_high_school_biology,"In a certain pond, there are long-finned fish and short-finned fish. A horrific summer thunderstorm leads to the death of a disproportionate number of long-finned fish to the point where the relative frequency of the two forms has drastically shifted. This is an example of",True,False
91,mmlu_high_school_biology,A form of species interaction in which one of the species benefits while the other is unaffected is called,True,False
92,mmlu_high_school_biology,Chemical substances released by organisms that elicit a physiological or behavioral response in other members of the same species are known as,True,False
93,mmlu_high_school_biology,"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?",False,False
94,mmlu_high_school_biology,All viruses contain at least these two principal components:,True,True
95,mmlu_high_school_biology,Imagine an organism whose 2n = 96. Meiosis would leave this organism’s cells with how many chromosomes?,True,False
96,mmlu_high_school_biology,Which of the following represents an idea that Darwin learned from the writings of Thomas Malthus?,True,True
97,mmlu_high_school_biology,Which of the following would most likely describe the fate of a vesicle formed as a result of phagocytosis?,True,True
98,mmlu_high_school_biology,"A population undergoes a shift in which those who are really tall and those who are really short decrease in relative frequency compared to those of medium size, due to a change in the availability of resources. This is an example of",False,False
99,mmlu_high_school_biology,Which of the following theories is based on the notion that mitochondria and chloroplasts evolved from prokaryotic cells?,True,True
100,mmlu_high_school_biology,The nucleotide sequence of a DNA molecule is 5′-C-A-T-3′. A mRNA molecule with a complementary codon is transcribed from the DNA in the process of protein synthesis a tRNA pairs with a mRNA codon. What is the nucleotide sequence of the tRNA anticodon?,False,False
101,mmlu_high_school_biology,"During drought years on the Galapagos, small, easily eaten seeds become rare, leaving mostly large, hard-cased seeds that only birds with large beaks can eat. If a drought persists for several years, what should one expect to result from natural selection?",True,True
102,mmlu_high_school_biology,Which of the following is NOT a characteristic of asexual reproduction in animals?,True,False
103,mmlu_high_school_biology,"A biologist studied a population of squirrels for 15 years. During that time, the population was never fewer than 30 squirrels and never more than 45. Her data showed that over half of the squirrels born did not survive to reproduce, because of competition for food and predation. In a single generation, 90% of the squirrels that were born lived to reproduce, and the population increased to 80. Which inference(s) about this population might be true?",True,True
104,mmlu_high_school_biology,"Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?",False,True
105,mmlu_high_school_biology,"Except for identical twins, no two people are genetically identical. Which of the following statements most accurately describes the main source of variation in humans?",True,True
106,mmlu_high_school_biology,"An eager AP Biology student interested in studying osmosis and the movement of water in solutions took a dialysis bag containing a 0.5 M solution and placed it into a beaker containing a 0.6 M solution. If this bag were instead placed into a beaker of distilled water, what would be the expected result?",False,False
107,mmlu_high_school_biology,Crossing-over during meiosis permits scientists to determine,False,False
