id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_high_school_chemistry,London dispersion forces are caused by,True,False
1,mmlu_high_school_chemistry,Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.,True,False
2,mmlu_high_school_chemistry,"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains",False,False
3,mmlu_high_school_chemistry,The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is,True,False
4,mmlu_high_school_chemistry,The symbol for antimony is,True,True
5,mmlu_high_school_chemistry,"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen?",False,False
6,mmlu_high_school_chemistry,Monatomic ions of the representative elements are often,False,True
7,mmlu_high_school_chemistry,Hund's rule requires that,False,True
8,mmlu_high_school_chemistry,All of the following ions have the same electron configuration except,True,False
9,mmlu_high_school_chemistry,"Sulfurous acid is a weak acid, while sulfuric acid is a much stronger acid because",True,True
10,mmlu_high_school_chemistry,What is the molarity of a sodium hydroxide solution that requires 42.6 mL of 0.108 M HCl to neutralize 40.0 mL of the base?,False,False
11,mmlu_high_school_chemistry,Which of the following substances has an asymmetrical molecular structure?,True,False
12,mmlu_high_school_chemistry,"Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?",False,False
13,mmlu_high_school_chemistry,"The reaction of Br2(g) with Cl2(g) to form BrCl(g) has an equilibrium constant of 15.0 at a certain temperature. If 10.0 grams of BrCl is initially present in a 15.0-liter reaction vessel, what will the concentration of BrCl be at equilibrium?",True,False
14,mmlu_high_school_chemistry,A sample of liquid NH3 is brought to its boiling point. Which of the following occurs during the boiling process?,False,True
15,mmlu_high_school_chemistry,"A student has a liter of a 0.100 M solution of a strong acid. To prepare a buffer, this should be mixed with",True,False
16,mmlu_high_school_chemistry,Which of the following indicates that a reaction is spontaneous?,False,False
17,mmlu_high_school_chemistry,Which of the following is expected to have the largest bond polarity?,True,False
18,mmlu_high_school_chemistry,A mechanism is a sequence of elementary reactions that add up to the overall reaction stoichiometry. A substance that is produced in one elementary reaction and consumed in another is called,False,True
19,mmlu_high_school_chemistry,Approximately how many half-lives will it take to reduce 10.0 kg of a radioactive substance to 1.0 microgram of that substance?,False,False
20,mmlu_high_school_chemistry,S(s) + O2(g) → SO2(g),False,True
21,mmlu_high_school_chemistry,"Three half-lives after an isotope is prepared,",False,False
22,mmlu_high_school_chemistry,"Which pair of reactants will have no net ionic equation (that is, all the ions cancel)?",False,False
23,mmlu_high_school_chemistry,Which of the following is expected to be the least soluble in water?,True,True
24,mmlu_high_school_chemistry,The rate law may be written using stoichiometric coefficients for which of the following?,False,True
25,mmlu_high_school_chemistry,"A liquid element that is a dark-colored, nonconducting substance at room temperature is",False,False
26,mmlu_high_school_chemistry,The molecule with a tetrahedral shape is,False,False
27,mmlu_high_school_chemistry,The ideal gas law is successful for most gases because,True,True
28,mmlu_high_school_chemistry,What is an alpha particle?,True,False
29,mmlu_high_school_chemistry,Your supervisor asks you to determine the enthalpy of a certain chemical reaction. Which would you do?,False,False
30,mmlu_high_school_chemistry,The bond length between any two nonmetal atoms is achieved under which of the following conditions?,True,False
31,mmlu_high_school_chemistry,"The oxidation number of chlorine in the perchlorate ion, ClO4–, is",True,False
32,mmlu_high_school_chemistry,"There are a number of experiments for the determination of the molecular mass of a gas. One method begins by heating a solid or liquid in a flask to produce a gaseous product. The gas passes through a tube and displaces water in an inverted, water-filled bottle. The mass of the starting material is measured, along with the volume of the displaced water and the temperature of the system. The pressure in the inverted water-filled bottle is equal to the external pressure. Once the barometric pressure has been recorded, what other information is needed to finish the experiment?",True,True
33,mmlu_high_school_chemistry,The melting point of straight-chain hydrocarbons increases as the number of carbon atoms increase. The reason for this is the,False,True
34,mmlu_high_school_chemistry,"A sample of a compound known to consist of only carbon, hydrogen, and oxygen is found to have a total mass of 29.05 g. If the mass of the carbon is 18.02 g and the mass of the hydrogen is 3.03 g, what is the empirical formula of the compound?",False,False
35,mmlu_high_school_chemistry,Which would be the easiest way to burn an iron nail?,True,False
36,mmlu_high_school_chemistry,Which of the following has an octet of electrons around the central atom?,True,False
37,mmlu_high_school_chemistry,How many milliliters of 0.250 M KOH does it take to neutralize completely 50.0 mL of 0.150 M H3PO4?,False,False
38,mmlu_high_school_chemistry,NH4+(aq) + NO2- (aq) → N2(g) + 2H2O(l) Increasing the temperature of the above reaction will increase the rate of reaction. Which of the following is NOT a reason that increased temperature increases reaction rate?,True,True
39,mmlu_high_school_chemistry,The relationship between the vapor pressure of a liquid and the heat of vaporization is expressed in the,True,True
40,mmlu_high_school_chemistry,"Of the following pairs of elements, which pair has the second element with the larger electronegativity based on its position in the periodic table?",False,False
41,mmlu_high_school_chemistry,"The units for R, the ideal gas law equation constant, may be",True,True
42,mmlu_high_school_chemistry,Which of the following pair of liquids is expected to be immiscible?,False,False
43,mmlu_high_school_chemistry,"Of the following, the most important experimental information used to deduce the structure of the atom was",True,True
44,mmlu_high_school_chemistry,"para-dichlorobenzene is used as ""mothballs."" This compound can also be named",False,False
45,mmlu_high_school_chemistry,Radon is a health hazard because,False,True
46,mmlu_high_school_chemistry,"Each resonance form of the nitrate ion, NO3-, has how many sigma and how many pi bonds?",True,False
47,mmlu_high_school_chemistry,Which of the following can form hydrogen bonds?,True,True
48,mmlu_high_school_chemistry,The functional group that represents an organic acid is written as (Note: R represents the rest of the molecule),True,True
49,mmlu_high_school_chemistry,"A certain radioactive material has a half-life of 36 minutes. Starting with 10.00 grams of this material, how many grams will be left after 2 hours?",False,False
50,mmlu_high_school_chemistry,What is the pH of a solution prepared by dissolving 0.1665 mole of hypochlorous acid (HClO) in enough water to make 500 mL of solution? The Ka is 3.0 × 10^-4,False,False
51,mmlu_high_school_chemistry,Iron(III) hydroxide has Ksp = 1.6 × 10^-39. What is the molar solubility of this compound?,False,False
52,mmlu_high_school_chemistry,The subatomic particle with the most penetrating ability is,False,True
53,mmlu_high_school_chemistry,"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-. Which molecule or molecules exhibit sp2 hybridization around the central atom?",False,False
54,mmlu_high_school_chemistry,The photoelectron spectrum of carbon has three equally sized peaks. What peak is at the lowest energy?,False,False
55,mmlu_high_school_chemistry,The electrolysis of molten magnesium bromide is expected to produce,True,True
56,mmlu_high_school_chemistry,The Arrhenius equation may be used to determine,True,True
57,mmlu_high_school_chemistry,"Nickel (Z = 28, A = 59) has a first ionization energy of 737 kJ/mol and a boiling point of 2913 °C, while Pt (Z = 78, A = 195) has a first ionization energy of 870 kJ/mol and a boiling point of 3825 °C. Which of the following are the most reasonable values of ionization energy and boiling point for palladium?",True,False
58,mmlu_high_school_chemistry,"In acid solution the bromate ion, BrO3- can react with other substances, resulting in Br2. Balance the half-reaction for bromate ions forming bromine. The balanced half-reaction has",False,False
59,mmlu_high_school_chemistry,"0.0025 mol of a weak, monoprotic acid is dissolved in 0.250 L of distilled water. The pH was then measured as 4.26. What is the pKa of this weak acid?",False,True
60,mmlu_high_school_chemistry,"Potassium-40 is a minor isotope found in naturally occurring potassium. It is radioactive and can be detected on simple radiation counters. How many protons, neutrons, and electrons does potassium-40 have when it is part of K2SO4?",False,False
61,mmlu_high_school_chemistry,Which of the following reactions is expected to have the greatest decrease in entropy?,False,True
62,mmlu_high_school_chemistry,"What is the ionization constant, Ka, for a weak monoprotic acid if a 0.060 molar solution has a pH of 2.0?",True,True
63,mmlu_high_school_chemistry,"Solvents A and B form an ideal solution. Solvent A has a vapor pressure of 345 torr at room temperature. At the same temperature, solvent B has a vapor pressure of 213 torr. What is the vapor pressure of a mixture where the mole fraction of A is 0.285?",True,False
64,mmlu_high_school_chemistry,Which of the following is the strongest Brønsted-Lowry acid?,True,True
