id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_high_school_computer_science,Let x = 1. What is x << 3 in Python 3?,True,True
1,mmlu_high_school_computer_science,"In Python 3, which of the following function convert a string to an int in python?",True,True
2,mmlu_high_school_computer_science,"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user?",True,False
3,mmlu_high_school_computer_science,"Digital images are often represented by the red, green, and blue values (an RGB triplet) of each individual pixel in the image. A photographer is manipulating a digital image and overwriting the original image. Which of the following describes a lossless transformation of the digital image?",False,False
4,mmlu_high_school_computer_science,A programmer is writing a program that is intended to be able to process large amounts of data. Which of the following considerations is LEAST likely to affect the ability of the program to process larger data sets?,True,False
5,mmlu_high_school_computer_science,"Suppose the characters 0,1, . . . ,8,9,A,B,C,D, E,F are used to represent a hexadecimal (base-16) number. Here A = 10, B = 11, . . . ,F = 15. What is the largest base-10 integer that can be represented with a two-digit hexadecimal number, such as 14 or 3A?",True,True
6,mmlu_high_school_computer_science,"A large data set contains information about all students majoring in computer science in colleges across the United States. The data set contains the following information about each student.
   ° The student's gender
   ° The state in which the student attends college
   ° The student's grade point average on a 4.0 scale

 Which of the following questions could be answered by analyzing only information in the data set?",True,False
7,mmlu_high_school_computer_science,"The code segment below uses the procedure IsFound (list, item), which returns true if item appears in list and returns false otherwise. The list resultList is initially empty.
  FOR EACH item IN inputList1{
 IF (isFound (inputList2, item) )
 APPEND (resultList, item)
 }
 Which of the following best describes the contents of resultList after the code segment is executed?",True,True
8,mmlu_high_school_computer_science,A program is expressed in a programming language. Which of the following is true of the program?,True,True
9,mmlu_high_school_computer_science,"In Python 3, what is the output of print tuple[0] if tuple = ( 'abcd', 786 , 2.23, 'john', 70.2 )?",False,False
10,mmlu_high_school_computer_science,"Of the following potential benefits, which is LEAST likely to be provided by the upgraded system?",False,False
11,mmlu_high_school_computer_science,"Historically, it has been observed that computer processing speeds tend to double every two years. Which of the following best describes how technology companies can use this observation for planning purposes?",True,False
