id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_high_school_government_and_politics,Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,True,False
1,mmlu_high_school_government_and_politics,Which of the following statements does NOT accurately describe voting behavior in the United States?,True,True
2,mmlu_high_school_government_and_politics,Which of the following plays the most significant role in forming a child's political views?,True,False
3,mmlu_high_school_government_and_politics,What power was granted to the states by the Articles of Confederation but not by the Constitution?,False,False
4,mmlu_high_school_government_and_politics,The primary function of political action committees (PACs) is to,True,True
5,mmlu_high_school_government_and_politics,Federal judges are subject to which of the following disciplinary actions?,True,True
6,mmlu_high_school_government_and_politics,The amount of access cabinet secretaries have to the president is most likely to be controlled by the,True,True
7,mmlu_high_school_government_and_politics,Which of the following defines the salience of a political issue?,True,False
8,mmlu_high_school_government_and_politics,Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,True,False
9,mmlu_high_school_government_and_politics,Which principle was established by the Supreme Court's decision in Marbury v. Madison?,True,True
10,mmlu_high_school_government_and_politics,Which of the following people would most likely be accused of influence peddling?,True,True
11,mmlu_high_school_government_and_politics,Which of the following does the Supreme Court NOT have the power to override?,True,True
12,mmlu_high_school_government_and_politics,"According to The Federalist Papers, federalism has which of the following effects on political factions?",True,False
13,mmlu_high_school_government_and_politics,Which of the following statements about voting patterns is NOT true?,True,False
14,mmlu_high_school_government_and_politics,The legal principle that instructs judges to follow established precedent when deciding cases is commonly referred to as,True,True
15,mmlu_high_school_government_and_politics,Voters in which of the following categories would be LEAST likely to vote?,True,True
16,mmlu_high_school_government_and_politics,"While ratifying the Constitution, the primary point of disagreement between Federalists and Anti-Federalists was over",False,True
17,mmlu_high_school_government_and_politics,"The legislative successes of the National Rifle Association, antiabortion activists, and other powerful interest groups demonstrate that",True,False
18,mmlu_high_school_government_and_politics,The exclusionary rule was established to,True,False
19,mmlu_high_school_government_and_politics,The opinions of congressional committees often fail to accurately mirror public opinion because,True,True
