id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_high_school_macroeconomics,Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,True,False
1,mmlu_high_school_macroeconomics,Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,False,False
2,mmlu_high_school_macroeconomics,When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,False,True
3,mmlu_high_school_macroeconomics,Tariffs and quotas,False,False
4,mmlu_high_school_macroeconomics,A likely cause of falling Treasury bond prices might be,False,True
5,mmlu_high_school_macroeconomics,Households demand more money as an asset when,False,True
6,mmlu_high_school_macroeconomics,Allocative efficiency,True,True
7,mmlu_high_school_macroeconomics,GDP measures,True,True
8,mmlu_high_school_macroeconomics,Every choice results in a foregone best alternative which economists call the,True,True
9,mmlu_high_school_macroeconomics,When a nation is operating at the natural rate of unemployment,True,False
10,mmlu_high_school_macroeconomics,If a country has a negative value on its current account then it must,False,False
11,mmlu_high_school_macroeconomics,Which of the following transactions would be counted in GDP?,False,True
12,mmlu_high_school_macroeconomics,If your nominal income rises 4 percent and your real income falls 1 percent by how much did the price level change?,False,True
13,mmlu_high_school_macroeconomics,Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is,False,False
14,mmlu_high_school_macroeconomics,Equilibrium real GDP is far below full employment and the government lowers household taxes. Which is the likely result?,True,False
15,mmlu_high_school_macroeconomics,If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:,False,True
16,mmlu_high_school_macroeconomics,Automatic or built-in stabilizers,False,False
17,mmlu_high_school_macroeconomics,Suppose consumers expect the price of corn to be lower in the near future while the price of seed corn and fertilizer fall. What will happen to the equilibrium price and the equilibrium quantity?,True,False
18,mmlu_high_school_macroeconomics,An increase in the demand for money in the economy could result from,False,False
19,mmlu_high_school_macroeconomics,An increase in the consumer price index is commonly referred to as,True,True
20,mmlu_high_school_macroeconomics,GDP measures I. production II. income earned during the production process III. spending by consumers businesses governments and foreigners,True,True
21,mmlu_high_school_macroeconomics,The economy is currently operating at full employment. Assuming flexible wages and prices how would a decline in aggregate demand affect GDP and the price level in the short run and GDP and the price level in the long run? SHORT-RUN GDP     SHORT-RUN PRICE LEVEL     LONG-RUN GDP     LONG-RUN PRICE LEVEL,True,False
22,mmlu_high_school_macroeconomics,If the economy is operating at full employment which of the following policies will create the most inflation in the short run?,True,True
23,mmlu_high_school_macroeconomics,The real interest rate is,False,False
24,mmlu_high_school_macroeconomics,Which of the following would be an example of fiat money?,True,False
25,mmlu_high_school_macroeconomics,Which of the following fiscal policies is likely to be most effective when the economy is experiencing an inflationary gap?,True,False
26,mmlu_high_school_macroeconomics,Among those hurt by inflation are I.   borrowers at fixed interest rates II.   individuals on fixed incomes III.   those with savings earning fixed interest rates IV.   restaurant owners,True,True
27,mmlu_high_school_macroeconomics,Required reserves,True,False
