id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_high_school_microeconomics,Marginal revenue equals marginal cost at the point where,False,True
1,mmlu_high_school_microeconomics,"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",False,False
2,mmlu_high_school_microeconomics,"At a Nash equilibrium,",False,True
3,mmlu_high_school_microeconomics,You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,True,True
4,mmlu_high_school_microeconomics,An externality,False,False
5,mmlu_high_school_microeconomics,What is one reason why the government discourages collusion between large firms in the same industry?,False,False
6,mmlu_high_school_microeconomics,Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,False,True
7,mmlu_high_school_microeconomics,Which of the following is not the basis for a wage differential?,True,False
8,mmlu_high_school_microeconomics,"Patents, control of resources, economies of scale, and exclusive licenses are",False,False
9,mmlu_high_school_microeconomics,"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",False,False
10,mmlu_high_school_microeconomics,"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",True,False
11,mmlu_high_school_microeconomics,"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",False,False
12,mmlu_high_school_microeconomics,Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,True,False
13,mmlu_high_school_microeconomics,Which of the following statements is accurate in regard to a perfectly competitive firm?,True,False
14,mmlu_high_school_microeconomics,"Economists use the term ""capital"" to mean",True,True
15,mmlu_high_school_microeconomics,"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,",True,True
16,mmlu_high_school_microeconomics,Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,True,False
17,mmlu_high_school_microeconomics,"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should",True,True
18,mmlu_high_school_microeconomics,"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?",True,True
19,mmlu_high_school_microeconomics,Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,False,False
20,mmlu_high_school_microeconomics,"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles",False,False
21,mmlu_high_school_microeconomics,Which of the following conditions is characteristic of oligopoly?,True,True
22,mmlu_high_school_microeconomics,Which of the following is characteristic of oligopoly? I. Formidable barriers to entry. II. Price (P) = Marginal Revenue (MR). III. Relatively few sellers.,True,True
23,mmlu_high_school_microeconomics,A monopoly is less efficient than a perfect competitor because,True,True
24,mmlu_high_school_microeconomics,"In the design of a competitive market system, which of the following does NOT describe how resources are allocated?",True,True
25,mmlu_high_school_microeconomics,A production possibility frontier will be a straight line when,False,False
26,mmlu_high_school_microeconomics,Which of the following statements is correct?,True,True
27,mmlu_high_school_microeconomics,"If the per unit price of labor, a variable resource, increases, it causes which of the following?",True,True
28,mmlu_high_school_microeconomics,"If the wage paid to all units of labor is $4.50, how many units of labor are hired?",False,True
29,mmlu_high_school_microeconomics,"If consumers are advised that multigrained bread will substantially lessen the risk of cancer, which of the following will happen in the market for multigrained bread?",True,False
30,mmlu_high_school_microeconomics,The market structures of perfect competition and monopolistic competition share which of the following characteristics?,True,True
31,mmlu_high_school_microeconomics,"When a negative externality exists as the result of the production of a good, the socially optimal quantity of output could be achieved by",True,True
32,mmlu_high_school_microeconomics,"Jason cleans swimming pools in a perfectly competitive local market. A profit maximizer, he can charge $10 per pool to clean 9 pools per day, incurring total variable costs of $80 and total fixed costs of $20. Which of the following is true?",False,True
33,mmlu_high_school_microeconomics,Which of the following is not a characteristic of oligopoly?,True,False
34,mmlu_high_school_microeconomics,The competitive market provides the best outcome for society because,False,False
35,mmlu_high_school_microeconomics,You are told that the income elasticity for DVDs is + 1.5. This means that,True,False
36,mmlu_high_school_microeconomics,"If the price of a product decreases with the price of a substitute product remaining constant such that the consumer buys more of this product, this is called the",True,True
37,mmlu_high_school_microeconomics,Which of the following is an example of a transfer earning?,False,False
38,mmlu_high_school_microeconomics,"A small business estimates price elasticity of demand for the product to be 3. To raise total revenue, owners should",True,False
39,mmlu_high_school_microeconomics,A bilateral monopoly exists when,True,False
40,mmlu_high_school_microeconomics,"If firms are entering an industry that is monopolistically competitive, we would expect",False,False
41,mmlu_high_school_microeconomics,The Law of Diminishing Marginal Returns is responsible for,False,False
42,mmlu_high_school_microeconomics,"Which of the following would best complete a short definition of economics? ""Economics is the study of . . .""",True,True
43,mmlu_high_school_microeconomics,"With capital fixed at one unit with 1, 2, 3 units of labor added in equal successive units, production of the output increases from 300 (1 unit of labor), to 350 (2 units of labor) to 375 (3 units of labor). Which of the following is a correct interpretation?",True,False
44,mmlu_high_school_microeconomics,Which of the following is the best example of a public good?,True,True
45,mmlu_high_school_microeconomics,Which of the following is the best example of a public good?,True,True
46,mmlu_high_school_microeconomics,"When the cross-price elasticity of demand is negative, the goods in question are necessarily",True,False
47,mmlu_high_school_microeconomics,A competitive labor market is currently in equilibrium. Which of the following most likely increases the market wage?,True,True
48,mmlu_high_school_microeconomics,One of the reasons that the government discourages and regulates monopolies is that,True,False
49,mmlu_high_school_microeconomics,Which of the following is true of equilibrium in a purely (or perfectly) competitive market for good X?,True,True
50,mmlu_high_school_microeconomics,"When the price of pears increases, we expect the following:",True,False
51,mmlu_high_school_microeconomics,"If the demand for grapes increases simultaneously with an increase in the supply of grapes, we can say that",True,True
52,mmlu_high_school_microeconomics,"If the government wishes to regulate a natural monopoly so that it produces an allocatively efficient level of output, it would be at an output",True,True
53,mmlu_high_school_microeconomics,"When price elasticity of demand is greater than 1, demand is",True,True
54,mmlu_high_school_microeconomics,Which of the following tax systems is designed to redistribute income from the wealthy to the poor?,True,True
55,mmlu_high_school_microeconomics,Which of these situations is not an example of price discrimination?,True,False
56,mmlu_high_school_microeconomics,"With the presence of a positive externality, which of the following would correct the externality?",True,False
57,mmlu_high_school_microeconomics,"The market for denim jeans is in equilibrium, and the price of polyester pants, a substitute good, rises. In the jean market",False,False
58,mmlu_high_school_microeconomics,A rational consumer who is eating Girl Scout cookies stops eating when,True,False
59,mmlu_high_school_microeconomics,"Which of the following correctly illustrates why price (P) equals marginal revenue (MR) under perfect competition, and why price (P) is greater than marginal revenue under monopoly or imperfect competition? I. MR = P = demand on horizontal function for perfect competition. II. P > MR as downward sloping functions for imperfect competition. III. Demand and Price are represented as a vertical function for imperfect competition.",True,True
60,mmlu_high_school_microeconomics,"When a good is taxed, the tax burden falls mainly on the consumer if",False,True
61,mmlu_high_school_microeconomics,The long-run average cost curve,False,False
62,mmlu_high_school_microeconomics,Which of the following is not a characteristic of a kinked demand curve?,True,False
63,mmlu_high_school_microeconomics,Economics is a social science that,True,True
64,mmlu_high_school_microeconomics,Which of the following is true?,True,False
65,mmlu_high_school_microeconomics,A monopsonist is identified by one of the following:,True,False
66,mmlu_high_school_microeconomics,"If the price of one good (A) increases and the quantity demanded of another good (B) increases, the two goods are",True,False
67,mmlu_high_school_microeconomics,Which of the following statements is true for a firm in a perfectly competitive industry?,False,True
68,mmlu_high_school_microeconomics,A perfectly competitive employer hires labor up to the point where,False,False
69,mmlu_high_school_microeconomics,The necessity for a monopoly to lower its price in order to sell more units of its product explains why,False,True
70,mmlu_high_school_microeconomics,Suppose a price floor is installed in the market for coffee. One result of this policy would be,False,False
71,mmlu_high_school_microeconomics,A minimum wage in the market for fast-food workers is likely to produce,False,False
72,mmlu_high_school_microeconomics,Which of the following is true of the perfectly competitive firm in the short run?,True,True
