id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_human_aging,The study of older adults and aging is referred to as,True,False
1,mmlu_human_aging,Which of the following factors is associated with a decreased risk of Alzheimer's?,True,False
2,mmlu_human_aging,The docility hypothesis is that,True,False
3,mmlu_human_aging,Normal memory seems to be improved by,True,False
4,mmlu_human_aging,The perspective that development is embedded in history means that,True,False
5,mmlu_human_aging,"The answer ""both play an important role"" is clearly applicable to the question of",True,True
6,mmlu_human_aging,Which of the following does NOT usually occur to the lens of the eye as one grows older?,True,False
7,mmlu_human_aging,The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,False,True
8,mmlu_human_aging,The reaction time difference between younger and older adults is reduced when older adults,True,True
9,mmlu_human_aging,A major difference between programmed and unprogrammed theories of senescence is that programmed theories,True,True
10,mmlu_human_aging,One reason that older adults show high levels of optimism is that,True,True
11,mmlu_human_aging,Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,False,False
12,mmlu_human_aging,Which of the following is most strongly associated with loss of bone density?,False,False
13,mmlu_human_aging,That super sweet iced tea that your grandmother gives you might be that way because she,True,True
14,mmlu_human_aging,A shortage of these two vitamins can produce symptoms that mimic dementia:,True,False
15,mmlu_human_aging,Which of the following is one of McAdam's levels of personality?,False,False
16,mmlu_human_aging,"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",False,False
17,mmlu_human_aging,Surveys of older adults who are living together show that they tend to view cohabitation as,True,True
18,mmlu_human_aging,Older adults may be more attached to a place than younger adults because,True,True
19,mmlu_human_aging,The Hayflick number for human cells is,False,True
20,mmlu_human_aging,High levels of self-care behaviors have been associated with high levels of,False,False
21,mmlu_human_aging,Research has offered some longitudinal as well as cross sectional support for the theory put forth by,False,False
22,mmlu_human_aging,"Which of the following is more likely to be a cohort, rather than an age, difference?",False,True
23,mmlu_human_aging,Fear of aging has been associated with high levels of,True,True
24,mmlu_human_aging,In which dementia are cognitive symptoms less likely?,True,False
25,mmlu_human_aging,"In this chapter's Senior View, Dr. Shealy advises you to",True,False
26,mmlu_human_aging,"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",True,True
27,mmlu_human_aging,Hearing loss occurs more frequently for,True,False
28,mmlu_human_aging,Continued stress is damaging to health and longevity because it leads to,True,True
29,mmlu_human_aging,One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,False,False
30,mmlu_human_aging,"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",False,True
31,mmlu_human_aging,Social support is most likely to have a positive influence on health and well being when it is,True,True
32,mmlu_human_aging,Free radicals are produced by,True,False
33,mmlu_human_aging,Prejudice or bias against older adults is referred to as,True,True
34,mmlu_human_aging,"The program that takes over care for those with 6 or fewer months to live, attempts to keep them at home, provides pain relief, and ends all life-prolonging technologies is called",True,True
35,mmlu_human_aging,Loss of smell for adults 80 and older is,True,True
36,mmlu_human_aging,Activation of a class of genes called sirtuins may help to,True,True
37,mmlu_human_aging,Elder abuse most frequently comes from the older adult's,False,False
38,mmlu_human_aging,Projective tests generally ___ than objective tests of personality.,True,False
39,mmlu_human_aging,Cells in the eye that respond to low levels of illumination are called,True,False
40,mmlu_human_aging,Some work on age stereotypes suggests that,False,True
41,mmlu_human_aging,Which of the following could very well be a cohort difference rather than a change that occurs with age?,True,False
42,mmlu_human_aging,The major question concerning aging and personality is:,False,False
43,mmlu_human_aging,A researcher who wants to examine both age and cohort differences is advised to use a _____ design.,True,True
44,mmlu_human_aging,Which of the following is NOT one of the most rewarding aspects of being a grandparent as reported by grandparents?,False,False
45,mmlu_human_aging,"Of the following animals, which has the longest life span by current measures?",True,True
46,mmlu_human_aging,One advantage of an expected death over an unexpected death is that,False,False
47,mmlu_human_aging,Changes in the reproductive system are more _____ for men but not for women,False,False
48,mmlu_human_aging,Which of the following hormones has not yet been claimed to ward off senescence?,True,False
49,mmlu_human_aging,The majority of older widows live,True,True
50,mmlu_human_aging,Centenarians are people who,True,True
51,mmlu_human_aging,Quantitative analyses of TV shows have shown that,False,False
52,mmlu_human_aging,Which of the following groups of Americans have the lowest rate of alcohol abuse?,False,False
53,mmlu_human_aging,"If you believe that changes occur slowly and steadily throughout life, you would be holding the _____ side of this view of development.",False,False
54,mmlu_human_aging,"All other things being equal, which of the following persons is likely to live the longest?",False,True
55,mmlu_human_aging,"Which of the following age differences could be, in part, a cohort effect? Differences in",False,True
56,mmlu_human_aging,"Clifford and Lucia Pauling, in Senior View, told us that physical changes",False,True
57,mmlu_human_aging,The biggest and most dangerous changes in the cardiovascular system take place in the,False,True
58,mmlu_human_aging,Older adults generally perform very well when their _____ memory is tested.,False,False
59,mmlu_human_aging,"With respect to marital satisfaction, most long lasting marriages",False,False
60,mmlu_human_aging,Theories,True,True
61,mmlu_human_aging,The least favored theory of senescence among researchers is the _____ theory,False,False
62,mmlu_human_aging,A researcher finds that age is negatively correlated with cigarette smoking; this means that,True,False
63,mmlu_human_aging,"When a researcher takes part in the situation he or she is observing, he or she is said to be a(n)",False,True
64,mmlu_human_aging,"The term ""work-family conflict"" for middle-aged adults can occur when they must",True,False
65,mmlu_human_aging,Do traits change with age?,False,False
66,mmlu_human_aging,The cause of Alzheimer's appears to be,True,True
67,mmlu_human_aging,Older married men have been found to have,False,False
68,mmlu_human_aging,"Within the United States, which location has the longest life expectancy?",True,False
69,mmlu_human_aging,The largest proportion of older adults living alone reside in,False,False
70,mmlu_human_aging,Which level of personality description appears to show the most change with age?,False,False
71,mmlu_human_aging,The positive relationship between religion and physical health is NOT thought to be due to,True,False
72,mmlu_human_aging,Human factors examines the performance of different tasks by examining,False,False
73,mmlu_human_aging,Prospective memory refers to memory,True,False
74,mmlu_human_aging,The total number of people who have some disorder divided by the total number of people gives you the ____ rate.,True,True
