id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_international_law,Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,True,False
1,mmlu_international_law,What is the meaning of justiciability?,True,False
2,mmlu_international_law,In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,True,True
3,mmlu_international_law,What is the 'Lotus principle'?,True,True
4,mmlu_international_law,Which of these statements best describes the UK Constitution?,True,True
5,mmlu_international_law,What is the obligation of the peaceful settlement of disputes?,False,True
6,mmlu_international_law,Which one of the following statements is false?,True,True
7,mmlu_international_law,Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,True,True
8,mmlu_international_law,What is the meaning of international legal personality?,True,True
9,mmlu_international_law,Which of the following is a treaty-based human rights mechanism?,True,True
10,mmlu_international_law,The UN Vienna Declaration 1993 declared that,True,True
11,mmlu_international_law,What is the principal source of immunity in respect of international organisations (IOs)?,False,True
12,mmlu_international_law,Is there any hierarchy or priority among States under international law?,True,True
13,mmlu_international_law,What is the declaratory theory of recognition?,True,True
14,mmlu_international_law,"What is the function of ""standard-setting in human rights diplomacy?",False,False
15,mmlu_international_law,What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,True,False
16,mmlu_international_law,Magna Carta was,True,True
17,mmlu_international_law,Do individuals (physical) persons enjoy international legal personality in the same manner as States and international organisations?,True,True
18,mmlu_international_law,Is there any hierarchy or priority among the various methods of peaceful settlement of disputes?,False,False
19,mmlu_international_law,Which of the following statements is false?,False,False
20,mmlu_international_law,What is the meaning of proportionality in relation to the options available to the victim State?,True,True
21,mmlu_international_law,What is the ordinary geographical scope of jurisdiction?,True,True
22,mmlu_international_law,Which are the formal sources of international law?,True,False
23,mmlu_international_law,What is the purpose of baselines under the law of the sea?,True,True
24,mmlu_international_law,What is the difference between conciliation and mediation?,True,True
25,mmlu_international_law,"In Osman v UK (1998), the European Court laid down a test, which can be used to apply a general positive obligation on a state. Which of the following statements is not part of the Osman test?",True,True
26,mmlu_international_law,Who is entitled to request an advisory opinion of the ICJ?,True,True
27,mmlu_international_law,What is the purpose of universal jurisdiction?,False,False
28,mmlu_international_law,Are all acts of State organs attributed to the State under the law international responsibility?,True,True
29,mmlu_international_law,What is a 'treaty' according to the Vienna Convention on the Law of Treaties (VCLT)?,True,False
30,mmlu_international_law,Is the unlawful homicide committed by Minister of country X abroad an act jure imperii or jure gestionis?,False,False
31,mmlu_international_law,What was the outcome before the European Court of Human Rights in the Al-Adsani case?,False,False
32,mmlu_international_law,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,False,True
33,mmlu_international_law,How treaties are to be interpreted?,True,True
34,mmlu_international_law,When coastal States do enforce their criminal jurisdiction over foreign vessels in their ports?,True,False
35,mmlu_international_law,What is the value of the Resolutions of the UN General Assembly in terms as a 'source' of international law?,True,True
36,mmlu_international_law,"Do treaties bind third States, ie non-State parties?",False,False
37,mmlu_international_law,Which of the following articles are not qualified rights?,False,False
38,mmlu_international_law,What is dualism?,True,False
39,mmlu_international_law,What is an act jure imperii?,True,False
40,mmlu_international_law,What is the relationship between the formal sources of international law?,True,False
41,mmlu_international_law,What was the particular advantage of UNSC Resolution 678 over a collective defensive action under Article 51 UN Charter during the Gulf War?,False,True
42,mmlu_international_law,How can customary law be related to treaty provisions?,True,True
43,mmlu_international_law,What does it mean for a State to be sovereign?,True,True
