id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_marketing,This is a hierarchy of effects or sequential model used to explain how advertising works:,False,True
1,mmlu_marketing, _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,True,True
2,mmlu_marketing,"In the history of marketing, when did the production period end?",True,False
3,mmlu_marketing,The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,False,False
4,mmlu_marketing,"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",True,True
5,mmlu_marketing, The term 'marketing mix' describes:,True,True
6,mmlu_marketing,__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,True,True
7,mmlu_marketing, An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,True,True
8,mmlu_marketing, Which of the following is not an element of the marketing mix?,True,True
9,mmlu_marketing, Providing free samples of perfumes (scent) in magazines is an example of which of the following?,True,False
10,mmlu_marketing,Why is market segmentation carried out?,True,True
11,mmlu_marketing," There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.",True,False
12,mmlu_marketing,"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:",True,True
13,mmlu_marketing,This allows us to determine how the quantity of an offering relates to the price at which it is offered:,True,False
14,mmlu_marketing, ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.,True,True
15,mmlu_marketing,A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,True,True
16,mmlu_marketing," Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:",True,True
17,mmlu_marketing, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,True,False
18,mmlu_marketing,Which of the following is the name for a coupon that is included in a package for later purchase?,True,False
19,mmlu_marketing," Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:",False,False
20,mmlu_marketing,"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.",False,True
21,mmlu_marketing," These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:",True,True
22,mmlu_marketing,Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?,True,True
23,mmlu_marketing, ________________is used to influence the way an organization is perceived by various groups of stakeholders.,False,False
24,mmlu_marketing,Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:,True,True
25,mmlu_marketing, The differentiation of a firm's products or services to promote environmental responsibility is referred to as:,False,True
26,mmlu_marketing, Which of the following is the rate at which a market adopts an innovation?,False,False
27,mmlu_marketing,Micromarketing is directed at potential buyers who,True,True
28,mmlu_marketing, This is a group of people in the process of diffusion who enjoy being at the leading edge of innovation and buy into new products at an early stage:,True,True
29,mmlu_marketing, What channel structure is it where the product goes directly from the producer to the final customer?,True,False
30,mmlu_marketing,"Joint creation of value, in which customers take part in an active dialogue and co-construct personalized experiences, is referred to as:",True,True
31,mmlu_marketing,"This form of marketing communications tool is referred to as 'a paid, mediated form of communication from an identifiable source, designed to persuade the receiver to take some action, now or in the future'. This is referred to as:",True,True
32,mmlu_marketing," The ____________ delivers to us a wide array of offerings, either directly or indirectly, through business markets, to serve our wants and needs.",True,True
33,mmlu_marketing," ____________ describes the extrinsic properties of the product (the colour, the packaging, the product consistency, associations) and level to which these satisfy customers' psychological or social needs.",False,False
34,mmlu_marketing,"AIDA stands for awareness, ________, desire and _________.",True,False
35,mmlu_marketing," This is where intermediaries are given exclusive rights to market the good or service within a defined 'territory', thus using a very limited number of intermediaries:",True,False
36,mmlu_marketing,"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investigate the problem. This document is called the ____________:",True,False
37,mmlu_marketing," Organizational characteristics, such as organizational size and location, are sometimes referred to as___________.",True,False
38,mmlu_marketing,The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?,True,True
39,mmlu_marketing,The process of making large numbers of unsolicited sales calls to potential customers whom the salesperson does not know is referred to as,True,True
40,mmlu_marketing, The process by which individuals accept and use new propositions is referred to as:,True,False
41,mmlu_marketing, Which of the following occurs when competitors' pricing policies are almost exclusively focused on competitors rather than customers?,False,True
42,mmlu_marketing,A commonly used basis for segmenting consumer markets is:,False,True
43,mmlu_marketing," In B2B contexts, prices are set according to specific agreements between a company and its clients or customers (e.g. professional services such as architectural or structural engineering).This pricing approach is known as:",True,True
44,mmlu_marketing," Once referred to as a multibrand policy, this branding strategy requires that each product offered by an organization is branded independently of all the others. This is known as:",True,True
45,mmlu_marketing, This is the use of inter-personal communications with the aim of developing positive feelings and stimulating behaviour.,True,False
