id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_medical_genetics,In a Robertsonian translocation fusion occurs at the:,True,False
1,mmlu_medical_genetics,Zinc finger proteins and helix-turn-helix proteins are,True,True
2,mmlu_medical_genetics,"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",True,False
3,mmlu_medical_genetics,In DNA adenine normally pairs with:,True,False
4,mmlu_medical_genetics,The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,True,False
5,mmlu_medical_genetics,Mapping of human chromosomes:,True,True
6,mmlu_medical_genetics,Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,True,True
7,mmlu_medical_genetics,Asp235Phe in a molecular report indicates that:,False,False
8,mmlu_medical_genetics,The risk of abnormality in the child of a mother with untreated phenylketonuria is:,True,True
9,mmlu_medical_genetics,Exon skipping is associated with:,False,False
10,mmlu_medical_genetics,Which of the following is not a chromosome instability syndrome?,True,False
11,mmlu_medical_genetics,Normal adult haemoglobin (Hb A) consists of:,True,False
12,mmlu_medical_genetics,In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,True,False
13,mmlu_medical_genetics,The mutation in sickle-cell disease consists of:,True,True
14,mmlu_medical_genetics,Which of the following is an example of monosomy?,True,False
15,mmlu_medical_genetics,QTL analysis is used to,True,True
16,mmlu_medical_genetics,What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,False,False
17,mmlu_medical_genetics,It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,True,True
18,mmlu_medical_genetics,With which of the following relatives is an individual most likely to share a common HLA haplotype?,True,False
19,mmlu_medical_genetics,Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,True,True
20,mmlu_medical_genetics,The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,False,False
21,mmlu_medical_genetics,X-chromosome inactivation,True,False
22,mmlu_medical_genetics,The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,True,False
23,mmlu_medical_genetics,Homeobox sequences,True,False
24,mmlu_medical_genetics,Which of the following karyotypes is diagnostic of Down syndrome,True,True
25,mmlu_medical_genetics,"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",True,True
26,mmlu_medical_genetics,Which of the following would result in Angelman syndrome?,False,False
27,mmlu_medical_genetics,Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?,True,True
28,mmlu_medical_genetics,Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,False,False
29,mmlu_medical_genetics,If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,False,False
30,mmlu_medical_genetics,The mutational mechanism in δβ-thalassaemia consists of:,True,False
31,mmlu_medical_genetics,"Assuming Hardy-Weinberg equilibrium, the genoypte frequency of heterozygotes, if the frequency of the two alleles at the gene being studied are 0.6 and 0.4, will be:",True,False
32,mmlu_medical_genetics,Familial hypercholesterolaemia is caused by mutations in the gene which encodes what?,True,False
33,mmlu_medical_genetics,A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?,False,False
34,mmlu_medical_genetics,The proportion of babies that have an abnormality identifiable at birth is _____.,False,False
35,mmlu_medical_genetics,______ explained genetic disorders such as alkaptonuria and albinism.,True,True
36,mmlu_medical_genetics,Which of the following conditions shows anticipation in paternal transmission?,True,False
37,mmlu_medical_genetics,A homeotic mutation is one which,True,True
38,mmlu_medical_genetics,Which of the following is not a familial cancer syndrome,True,False
39,mmlu_medical_genetics,"The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).",True,False
40,mmlu_medical_genetics,Severe anaemia at birth is a feature of what?,True,False
41,mmlu_medical_genetics,"If an X-linked recessive disorder is in Hardy-Weinberg equilibrium and the incidence in males equals 1 in 100, then the expected incidence of affected homozygous females would be _______.",False,True
42,mmlu_medical_genetics,Tay-Sachs disease is caused by deficiency of _________________?,True,True
43,mmlu_medical_genetics,A nonsense mutation involves:,True,True
44,mmlu_medical_genetics,The polymerase chain reaction or PCR is a technique that,True,True
