id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_moral_disputes, Just war theory's principle of military necessity belongs to,True,False
1,mmlu_moral_disputes," According to Mill, censoring speech that is possibly true",False,False
2,mmlu_moral_disputes, West argues that feminist rhetoric has,False,False
3,mmlu_moral_disputes," According to Mill, the value of a particular pleasure depends on",True,True
4,mmlu_moral_disputes," According to Carruthers, whenever someone is required to act in a certain way toward an animal for the sake of the animal, what explains that fact are facts about",False,False
5,mmlu_moral_disputes," What does SCNT stand for, as used in the discussion on cloning?",True,True
6,mmlu_moral_disputes," Velleman worries that, by offering a patient the option of euthanasia,",True,True
7,mmlu_moral_disputes, Nathanson supports which of the following kinds of retributivism?,True,True
8,mmlu_moral_disputes, Carruthers approaches questions about the moral standing of nonhuman animals from the perspective of which of the following moral theories?,False,False
9,mmlu_moral_disputes," In Gardiner's analysis, which of the following is a characteristic of the climate change problem?",True,True
10,mmlu_moral_disputes," What is the ""intergenerational storm"" of climate change?",False,False
11,mmlu_moral_disputes, Hourdequin argues that one flaw of consequentialist calculation is that,False,True
12,mmlu_moral_disputes, Dershowitz discusses the hypothetical case where the hijacked planes of 9/11 must be shot down to argue that important decisions like these,False,False
13,mmlu_moral_disputes, Baxter argues that we should view our treatment of the environment as a matter of various trade-offs whose aim is,False,False
14,mmlu_moral_disputes, Which of the following is an example of a value-based moral theory?,False,True
15,mmlu_moral_disputes, Kass worries that cloned individuals:,True,True
16,mmlu_moral_disputes," Why, according to Gill, does Leon Kass think the notion of being ""better off dead"" is incoherent?",True,False
17,mmlu_moral_disputes," In response to the argument that embryos are not persons because they lack certain rights that all persons have (such as the right to life), Lee and George argue that",True,False
18,mmlu_moral_disputes, The consequentialist approach to punishment is at odds with,True,True
19,mmlu_moral_disputes," What does Hursthouse say about the claim that any adequate action-guiding (i.e., moral) theory must provide clear guidance about what ought and ought not to be done that any intelligent person could follow?",False,True
20,mmlu_moral_disputes, Which of the following is not an objection that Kass makes against cloning?,True,True
21,mmlu_moral_disputes," In response to the objection that freedom of association is much more important in the marital context than the political realm, Wellman says",True,False
22,mmlu_moral_disputes," If it were known that a policy would wipe out several animal species without negatively affecting human beings, Baxter would most likely say that",False,False
23,mmlu_moral_disputes," According to Reiman, van den Haag's argument leads to the conclusion that",False,False
24,mmlu_moral_disputes," According to Singer, the principle of equality requires",False,True
25,mmlu_moral_disputes, Advocates of care ethics argue that,False,True
26,mmlu_moral_disputes," According to Norcross, any attempt to justify the claim that humans have a higher moral status than other animals by appealing to some version of rationality as the morally relevant difference between humans and animals will",True,False
27,mmlu_moral_disputes," In response to the argument that the death penalty does not deter murderers, van den Haag claims that",True,True
28,mmlu_moral_disputes," Thomas Nagel call the two kinds of moral considerations he discusses in ""War and Massacre""",False,False
29,mmlu_moral_disputes, What is the main reason why Arthur doesn't think that the poor have a right to aid from the affluent?,False,True
30,mmlu_moral_disputes, What assumption does Pence think people who object to SCNT make when they say that SCNT is not best for the child?,True,False
31,mmlu_moral_disputes, Van den Haag is,False,False
32,mmlu_moral_disputes," Against Kant's view of sexual objectification, Papadaki argues that",True,False
33,mmlu_moral_disputes, Thomson discusses a different version of the violinist case wherein the violinist only needs to use your kidneys for one hour to survive. Her own view about this case is that,False,True
34,mmlu_moral_disputes, Fine asks us to consider the example of a yoga group that practices in Central Park and is free to reject prospective members but isn't free to exclude others from making use of Central Park. The point of this example is to show that,True,True
35,mmlu_moral_disputes," The annual death-toll from poverty related causes is, according to Pogge,",False,False
36,mmlu_moral_disputes, What is the overall percentage of capital cases that are overturned because of serious errors?,False,True
37,mmlu_moral_disputes," According to Nussbaum, treating someone as an object is",True,False
38,mmlu_moral_disputes," In Corvino's reading of Aquinas, ""unnatural"" sexual acts are those that are",False,True
39,mmlu_moral_disputes, Rachels compares the cases of Smith and Jones to show that,True,True
40,mmlu_moral_disputes, Biocentrism is the view that,True,False
41,mmlu_moral_disputes, Which of the following is a feature of consequentialist moral theory?,True,True
42,mmlu_moral_disputes," On West's account, women who engage in undesired sex because of actual or felt dependence on their partner may experience injury to their sense of autonomy because",True,False
43,mmlu_moral_disputes, Which of the following is not mentioned by Macedo as a duty that societies have toward nonmembers?,True,False
44,mmlu_moral_disputes, Mill thinks that each person desires,True,False
45,mmlu_moral_disputes," According to Valls, a just cause for political violence is usually",True,False
46,mmlu_moral_disputes," Fine asks us to consider an example in which a private club ""regularly arranges noisy late-night gatherings"" to show that",True,False
47,mmlu_moral_disputes," According to Huemer, even if drug use harms a person's friends, families, and other relations,",True,False
48,mmlu_moral_disputes, The basic idea of social contract theories of morality is that correct or justified moral rules or principles are the ones that result from,True,True
49,mmlu_moral_disputes," In Singer's view, the question of when it's wrong to painlessly kill an animal is one",True,True
50,mmlu_moral_disputes, Which of the following is one of de Marneffe's responses to the objection that drug prohibition would be paternalistic?,True,False
51,mmlu_moral_disputes, Lukianoff and Haidt argue that the disinvitation of certain speakers,False,False
52,mmlu_moral_disputes, Ashford's article is meant to address a particular paralysis in the face of,True,False
53,mmlu_moral_disputes," In support of her thesis that global social institutions violate the rights of the world's poor, Ashford argues that",True,True
54,mmlu_moral_disputes, Papadaki argues that,True,False
