id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_nutrition,"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?
",False,True
1,mmlu_nutrition,"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?
",True,True
2,mmlu_nutrition,"Which of the following statements is correct?
",False,False
3,mmlu_nutrition,"What are the main causes of the obesity epidemic?
",True,True
4,mmlu_nutrition,"Which vitamin is a major lipid-soluble antioxidant in cell membranes?
",True,True
5,mmlu_nutrition,"Which of the following contributes to vitamin B12 deficiency in older adults?
",True,True
6,mmlu_nutrition,"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?
",True,True
7,mmlu_nutrition,"Which vitamin is required for calcium absorption from the small intestine?
",True,True
8,mmlu_nutrition,"Which of the following statements about the metabolic demand for amino acids is correct?
",True,True
9,mmlu_nutrition,"Which of the following statements about human amino acid requirements in human nutrition is correct?
",False,True
10,mmlu_nutrition,"A food additive is considered to be safe when:
",False,True
11,mmlu_nutrition,"Which of the following statements is true:
",False,True
12,mmlu_nutrition,"What role do women play in food security?
",True,True
13,mmlu_nutrition,"The following amino acids are all essential components of the diet:
",True,True
14,mmlu_nutrition,"Which single statement about fat digestion and absorption is correct?
",False,False
15,mmlu_nutrition,"Which fatty acids found in plasma phospholipids are associated with reduced cardiovascular mortality?
",True,True
16,mmlu_nutrition,"Crohn's disease:
",True,False
17,mmlu_nutrition,"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe
",False,False
18,mmlu_nutrition,"Which country has undergone the most rapid nutrition transition in the last two decades?
",True,True
19,mmlu_nutrition,"Acute binge drinking is associated with?
",True,False
20,mmlu_nutrition,"Why are some specific indices of iron status (such as serum ferritin or transferrin receptors) generally considered to be more reliable indices of iron status, than blood haemoglobin levels are?
",False,False
21,mmlu_nutrition,"What stable isotope is commonly given for the measurement of total body water?
",True,True
22,mmlu_nutrition,"What are focus areas of nutritional epidemiology?
",True,True
23,mmlu_nutrition,"Which of the following diet-derived compounds have epigenetic effects?
",True,True
24,mmlu_nutrition,"Which of the following does not occur with increasing age?
",True,False
25,mmlu_nutrition,"Which vitamin is required for synthesis of the blood clotting proteins?
",True,True
26,mmlu_nutrition,"What the largest endogenous substrate source in the body?
",False,False
27,mmlu_nutrition,"Which of the following statements concerning transamination is correct?
",True,False
28,mmlu_nutrition,"What is food security?
",False,True
29,mmlu_nutrition,"What is the likely reason that evidence to support the relationship between dietary cholesterol and plasma LDL cholesterol levels in humans is inconclusive?
",True,True
30,mmlu_nutrition,"Which of the following statements about amino acid scoring for predicting protein quality in human nutrition is correct?
",True,True
31,mmlu_nutrition,"A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?
",True,False
32,mmlu_nutrition,"Which of the following is the main nitrogenous compound in urine?
",True,True
33,mmlu_nutrition,"It has been observed that a reduction in family size and improved sanitary condition have led to an increase in allergic conditions. The 'hygiene hypothesis' suggests that
",True,True
34,mmlu_nutrition,"Why might some biochemical (eg plasma or serum) indices of micronutrient status give misleading results in people with infections or inflammatory states?
",True,True
35,mmlu_nutrition,"What proportion of vegans is likely to be deficient in vitamin B12?
",False,True
36,mmlu_nutrition,"Which of these factors increases the risk for cancer of the oesophagus?
",False,False
37,mmlu_nutrition,"Which one of the following statements about protein nutrition is correct?
",True,True
38,mmlu_nutrition,"Higher dietary sodium (salt) intake is generally associated with:
",True,True
39,mmlu_nutrition,"Which of the following is a function of vitamin B6?
",True,True
40,mmlu_nutrition,"Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:
",True,True
41,mmlu_nutrition,"Which of the following best explains the antioxidant action of vitamin E?
",False,False
42,mmlu_nutrition,"Which of these factors increases the risk for cancer of the stomach?
",False,True
43,mmlu_nutrition,"What are the main enzyme systems for catalysing ethanol to acetaldehyde?
",False,True
44,mmlu_nutrition,"In a healthy person maintaining energy balance in equilibrium (i.e. mathematical equality of energy intake and energy expenditure) is generally achieved on a:
",False,False
45,mmlu_nutrition,"Which of the following statements is incorrect regarding fatty acid ß-oxidation?
",True,False
46,mmlu_nutrition,"Intestinal lactase deficiency leads to lactose maldigestion which subsequently can lead to lactose intolerance, i.e. causing clinical symptoms. Infants and children normally express sufficient lactase levels as not to experience clinical symptoms. Overall, adults can be classified as lactase-persisters or lactase non-persisters. What is the approximate percentage of Lactase non-persisters worldwide?
",True,True
47,mmlu_nutrition,"Which of the following vitamins provides the coenzyme for carboxylation reactions?
",True,True
48,mmlu_nutrition,"According to trials on diabetes prevention, high-risk individuals can reduce their risk to develop diabetes by doing the following:
",True,True
49,mmlu_nutrition,"IBS
",True,True
50,mmlu_nutrition,"The gut microbes metabolize L-carnitine into which metabolite that has been shown increase cardiovascular disease?
",True,False
51,mmlu_nutrition,"Which of the following statements is correct?
",True,False
52,mmlu_nutrition,"Eosinophilic oesophagitis
",False,True
53,mmlu_nutrition,"Which of the following vitamins is required for fatty acid b-oxidation?
",False,False
54,mmlu_nutrition,"Children who are obese should:
",True,True
55,mmlu_nutrition,"Which of the treatments below has not demonstrated efficacy in BED
",True,False
56,mmlu_nutrition,"Which of the following is a function of biotin?
",False,False
57,mmlu_nutrition,"How is iron transported in the circulation from the intestine to the sites of metabolism in the body?
",True,True
58,mmlu_nutrition,"The safety of which of the following substances must be demonstrated prior to their introduction into food?
",True,True
59,mmlu_nutrition,"Select the single most accurate statement about the absorptive area of the human intestine?
",False,False
60,mmlu_nutrition,"Infants and children with a suspected food allergy e.g. cow's milk allergy/intolerance could display the following symptoms and signs:
",True,True
61,mmlu_nutrition,"High intake of which of these dietary components predisposes to accelerated cognitive decline
",True,True
62,mmlu_nutrition,"Which of the following statements is/are true?
How can smoking affect breastfeeding?
",True,True
63,mmlu_nutrition,"Which of the following statements about the global ageing population is correct?
",False,False
64,mmlu_nutrition,"Which of the following changes in body composition are associated with ageing in older adults?
",True,False
65,mmlu_nutrition,"What is the main source of protein in the British diet?
",True,False
66,mmlu_nutrition,"What is leptin resistance?
",True,False
67,mmlu_nutrition,"The two most common causes of foodborne illness in the United States and Europe are:
",True,True
68,mmlu_nutrition,"Bariatric surgery is used for obesity treatment but how much is the incidence of type 2 diabetes reduced in obese individuals after surgery?
",True,False
69,mmlu_nutrition,"What are the disadvantages of identifying under-reporting of usual intake using the doubly labelled water technique?
",False,True
70,mmlu_nutrition,"Facial flushing is seen in approximately 50% of East Asians and is thought to be due to a deficiency of?
",True,True
71,mmlu_nutrition,"Which of the following foods do not contain free sugars
",True,False
72,mmlu_nutrition,"Which of the following inborn errors of metabolism gives rise to zinc deficiency?
",False,True
73,mmlu_nutrition,"Ulcerative Colitis
",True,False
74,mmlu_nutrition,"What characteristic is not representative of a type IIb muscle fibre?
",False,False
75,mmlu_nutrition,"Which of the following statements is not true?
",True,True
76,mmlu_nutrition,"Intestinal failiure:
",False,False
77,mmlu_nutrition,"Which of the following statements is correct?
",True,False
78,mmlu_nutrition,"Which of the following is true about dietary calcium:
",True,False
79,mmlu_nutrition,"Oral bacterial synthesise extracellular glucans (dextran and mutan) from which host dietary component?
",True,False
80,mmlu_nutrition,"What is the definition of overweight?
",False,False
81,mmlu_nutrition,"Pregnancy and lactation is known to:
",False,True
82,mmlu_nutrition,"Observational epidemiology studies have produced useful in identifying health effects of many food contaminants, but not for assessing risk, because:
",False,True
83,mmlu_nutrition,"It is correct to state that for the treatment of Bulimia Nervosa:
",True,True
84,mmlu_nutrition,"The respiration quotient (RQ):
",False,False
85,mmlu_nutrition,"Nitrites are added to processed meats mainly to prevent the growth of the following genus of microorganisms
",False,False
86,mmlu_nutrition,"At what stage(s) during pregnancy did in utero exposure to the Dutch Hunger Winter have the biggest effects on DNA methylation in blood cells from the adult offspring?
",True,True
87,mmlu_nutrition,"The body's adjustment of heat production to changes in the plane of nutrition (under- or over-nutrition) and to minimize energy imbalance is known as:
",True,False
88,mmlu_nutrition,"Which drug(s) is/are approved for the treatment of obesity in Europe?
",True,True
89,mmlu_nutrition,"In order to achieve optimal nutritional status it is recommended that older adults consume:
",True,True
90,mmlu_nutrition,"The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:
",False,True
91,mmlu_nutrition,"Which statement about protein digestion and absorption is most correct?
",True,True
92,mmlu_nutrition,"What is the density of fat free mass?
",False,False
93,mmlu_nutrition,"In an epidemiological context, what is the population at risk?
",True,True
94,mmlu_nutrition,"How will climate change affect future food security?
",True,True
95,mmlu_nutrition,"What is a major limitation of using BMI (body mass index) as a method of body fat measurements?
",True,False
96,mmlu_nutrition,"Which of the following vitamins provides the cofactor for hydroxylation reactions in collagen synthesis?
",True,False
97,mmlu_nutrition,"Endurance type exercise training modulates fuel storage and substrate use. Adaptive responses include:
",False,False
98,mmlu_nutrition,"Which vitamins are most likely to be lacking in a vegan diet?
",True,True
99,mmlu_nutrition,"A blood sample is taken from a 45 year old man after he has broken his overnight fast by eating three slices of toast and a boiled egg. Which one of the following will be at a higher concentration than if the blood sample had been taken before breakfast?
",False,False
100,mmlu_nutrition,"In adolescence:
",False,False
101,mmlu_nutrition,"In which form is selenium found in the 25 human selenoproteins?
",True,True
102,mmlu_nutrition,"On a global scale, trends are suggesting that with rising incomes and urbanization we are seeing a rise in which food commodities?
",False,False
103,mmlu_nutrition,"Intestinal motility is a complex process, orchestrated by nerves, hormones and the presence of food in the stomach. Which statement about this process is correct?
",True,False
104,mmlu_nutrition,"It is possible to reduce (though not eliminate) information bias in assessment of dietary intake by
",False,True
105,mmlu_nutrition,"To characterize a binge eating episode one must investigate the presence of:
",True,True
106,mmlu_nutrition,"Which of the factors below is NOT considered a risk factor for Eating Disorders
",True,False
107,mmlu_nutrition,"Which statement about absorption from the gastro-intestinal (GI) tract is most correct?
",True,False
108,mmlu_nutrition,"Of the classes of dietary fatty acids which have the most beneficial effect on plasma LDL cholesterol levels?
",True,True
109,mmlu_nutrition,"Which of the following is not a function of vitamin D?
",True,False
110,mmlu_nutrition,"How many kcal are there in one gram of ethanol?
",False,False
111,mmlu_nutrition,"Colonic microbiome:
",True,False
112,mmlu_nutrition,"Which of the following amino acids cannot provide a substrate for gluconeogenesis?
",True,False
113,mmlu_nutrition,"What nutritional strategies will not improve performance during prolonged endurance type exercise?
",False,True
114,mmlu_nutrition,"Which body composition method would you use to measure body mineral content?
",False,True
115,mmlu_nutrition,"These factors increase risk of osteoporotic fracture:
",False,True
116,mmlu_nutrition,"Fruit and vegetable consumption
",False,True
117,mmlu_nutrition,"Which are the FIVE main series of apoproteins that have been identified?
",False,True
118,mmlu_nutrition,"Which of the following is the yield of ATP from complete oxidation of glucose to carbon dioxide and water?
",True,False
119,mmlu_nutrition,"Nutrients may pose health risks:
",True,False
120,mmlu_nutrition,"The Atherogenic Lipoprotein Phenotype (ALP) is a collection of which lipoprotein abnormalities?
",True,True
121,mmlu_nutrition,"The colonic microflora can be considered as ""an organ within an organ"". Which of the following statements best describes the functions of the microbiota?
",True,True
122,mmlu_nutrition,"Which of the following statements about glucose metabolism is correct?
",True,False
123,mmlu_nutrition,"What dietary component has been shown to improve hypertension in humans?
",True,True
124,mmlu_nutrition,"Fats normally contain triacylglycerols at concentrations of:
",False,True
125,mmlu_nutrition,"Which of the following statements about protein structure is correct?
",False,False
126,mmlu_nutrition,"Which of the following statements about exposures is true?
",True,False
127,mmlu_nutrition,"The test for checking mean plasma glucose concentration over the previous 8-10 weeks is:
",True,False
128,mmlu_nutrition,"Which one of these organs has the lowest energy expenditure per unit of body mass (kg)?
",True,True
129,mmlu_nutrition,"Are GM foods a valuable tool with which to address global food security and climate change?
",False,True
130,mmlu_nutrition,"What do flavonoids (polyphenols), including isoflavones (phytoestrogens), inositol phosphates (phytates), lignans (phytoestrogens), isothiocyanates, indoles, phenols and sulphides and thiols, have in common?
",True,True
131,mmlu_nutrition,"Which of the following will increase in vitamin D deficiency?
",False,True
132,mmlu_nutrition,"The 'mad cows disease' has had the greatest impact on food choice due to which of the following?
",True,False
133,mmlu_nutrition,"Which one of the following is a definition of glycaemic index?
",True,False
134,mmlu_nutrition,"Which of the following statements is true?
Impaired foetal growth is described as intrauterine growth retardation (IUGR). IUGR has the same definition as:
",True,True
135,mmlu_nutrition,"Which statement about dietary fibre is most correct?
",False,True
136,mmlu_nutrition,"Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?
",False,False
137,mmlu_nutrition,"What is the estimated global prevalence of untreated dental caries?
",True,False
138,mmlu_nutrition,"Bone mineral accretion
",False,True
139,mmlu_nutrition,"Which of the following is not considered a diagnostic feature of Anorexia Nervosa
",True,False
140,mmlu_nutrition,"Supplementation with long-chain fatty acids EPA and DHA during pregnancy and infancy will likely benefit the following:
",True,False
141,mmlu_nutrition,"Deficiency of thiamin in alcoholics leads to
",True,True
142,mmlu_nutrition,"In human DNA, which nucleotide base is methylated at the 5' position?
",True,True
143,mmlu_nutrition,"Which of the following statements is correct regarding intracellular fat metabolism?
",True,True
144,mmlu_nutrition,"Which of the following statements about the digestibility of dietary proteins is correct?
",True,False
145,mmlu_nutrition,"Basal Metabolic Rate (BMR):
",False,True
146,mmlu_nutrition,"What is the best method to estimate changes in body fat during weight loss?
",False,True
147,mmlu_nutrition,"Which of the following statements is correct?
",False,True
148,mmlu_nutrition,"Which of the following statements about the role of the intestine in development of obesity best describes the situation?
",False,True
149,mmlu_nutrition,"Which of these factors is associated with an increase in the risk for prostate cancer?
",True,True
150,mmlu_nutrition,"Which of the following is not a function of vitamin A
",True,False
151,mmlu_nutrition,"Which of the following confirmed values meet the diagnostic threshold for diabetes?
",True,True
152,mmlu_nutrition,"What is the basic functional unit of skeletal muscle tissue?
",False,True
