id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_philosophy,Aesthetics deals with objects that are_____.,True,False
1,mmlu_philosophy,"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",True,False
2,mmlu_philosophy,"According to Kant, nothing can be called “good” without qualification except _____.",True,True
3,mmlu_philosophy,Plato's view is that true beauty is _____.,False,False
4,mmlu_philosophy,"In Aristotle’s terminology, incontinence is when:",False,True
5,mmlu_philosophy,Nagel claims that most skeptical arguments:,False,True
6,mmlu_philosophy,Rawls conceives of the original contract as one to:,True,True
7,mmlu_philosophy,"According to Singer, compliance with his principle requires:",False,False
8,mmlu_philosophy,"For Socrates, the soul is harmed by lack of _____.",True,True
9,mmlu_philosophy,"According to Kant, morality requires us to:",True,True
10,mmlu_philosophy,"According to Gauthier, the basis of morality is:",True,True
11,mmlu_philosophy,Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,False,False
12,mmlu_philosophy,Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,False,False
13,mmlu_philosophy,Berkeley asserts that existing and perceiving are _____.,True,True
14,mmlu_philosophy,"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",False,False
15,mmlu_philosophy,Berkeley believes that sensible things cannot exist except in _____.,True,False
16,mmlu_philosophy,Singer claims that his argument upsets the traditional distinction between:,True,False
17,mmlu_philosophy," In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:",True,True
18,mmlu_philosophy,What was Clarence Darrow's belief about life's meaning?,False,False
19,mmlu_philosophy,Stevenson’s primary aim in this paper is to:,False,True
20,mmlu_philosophy,"According to Moore, we are thinking about good whenever we think about:",False,True
21,mmlu_philosophy,Baier argues that genuine moral rules:,False,False
22,mmlu_philosophy,"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward:",False,False
23,mmlu_philosophy,Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations:,False,False
24,mmlu_philosophy,Epictetus claims that things within our power are __________ and things not in our power are __________.,True,False
25,mmlu_philosophy,Hume divides our perceptions into two categories:,True,True
26,mmlu_philosophy,"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form:",True,False
27,mmlu_philosophy,"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not?",True,True
28,mmlu_philosophy,"""There is no rationale for myth because it is through myth that reason itself is defined.""  This means that:",False,True
29,mmlu_philosophy,"According to Epicurus, a law is unjust when:",False,True
30,mmlu_philosophy,Leo Tolstoy says that art is _____.,True,True
31,mmlu_philosophy,Aquinas holds that the last end of man is:,True,True
32,mmlu_philosophy,"According to Kant, the supreme principle of morality is:",True,False
33,mmlu_philosophy,Epicurus claims that all other virtues spring from:,True,False
34,mmlu_philosophy,"According to Butler, it is impossible to:",False,False
35,mmlu_philosophy,"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.",True,True
36,mmlu_philosophy,"According to Mill, to determine whether one pleasure is more valuable than another, we must _____.",True,False
37,mmlu_philosophy,"According to Hobbes, the definition of injustice is _____.",False,False
38,mmlu_philosophy,Kant claims that the natural purpose of reason is to:,False,False
39,mmlu_philosophy,Hare claims that the two essential features of the logic of moral judgments are:,False,True
40,mmlu_philosophy,Mill defines “utility” as:,False,False
41,mmlu_philosophy,"To Kant, making a lying promise would be wrong because _____.",True,True
42,mmlu_philosophy,How does Stevenson respond to the objection that his theory does not account for the kind of goodness that is objective and is known a priori?,False,False
43,mmlu_philosophy,Wolf claims that interpreting Kant’s ethics so that it consists of a finite set of constraints:,False,False
44,mmlu_philosophy,The famous statement “An unexamined life is not worth living” is attributed to _____.,True,True
