id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_prehistory,"Unlike most other early civilizations, Minoan culture shows little evidence of:",False,True
1,mmlu_prehistory,The greatest Egyptian pyramids at Giza were built:,True,False
2,mmlu_prehistory,"When anatomically modern humans first arrived in the Middle East, who did they encounter?",False,False
3,mmlu_prehistory,The “Lion Man” from Hohlenstein-Stadel cave is an example of:,True,True
4,mmlu_prehistory,"At its peak, the palace at Knossos is thought to have had over _________ rooms.",False,False
5,mmlu_prehistory,"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:",False,True
6,mmlu_prehistory,Markings found on the mud-bricks of Huaca del Sol are probably:,False,True
7,mmlu_prehistory,The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.,True,True
8,mmlu_prehistory,"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that:",True,False
9,mmlu_prehistory,Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from:,False,False
10,mmlu_prehistory,Which of the following is evidence of new uses for plants during the Middle Stone Age?,False,False
11,mmlu_prehistory,That modern Africans do not possess any Neandertal DNA indicates that:,False,True
12,mmlu_prehistory,"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______.",False,False
13,mmlu_prehistory,Which archaeological method is best for identifying large-scale land modifications?,False,False
14,mmlu_prehistory,What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific?,True,True
15,mmlu_prehistory,What is one of the differences between simple foragers and complex foragers?,False,True
16,mmlu_prehistory,The significance of Frere's discovery was that what he found was located:,True,False
17,mmlu_prehistory,What is the earliest form of writing in the world and where did it develop?,True,True
18,mmlu_prehistory,A pattern of social integration in which individuals are placed into a hierarchy of social levels is called:,True,True
19,mmlu_prehistory,The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on:,False,True
20,mmlu_prehistory,"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________.",True,True
21,mmlu_prehistory,"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins?",True,True
22,mmlu_prehistory,Which of the following is used to remove the soil enclosing site materials?,True,True
23,mmlu_prehistory,"A continuous, projecting ridge of bone above and across the eye orbits is called the:",False,True
