id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_professional_psychology,Which of the following statements expresses a relationship between aging and sexual functioning,True,False
1,mmlu_professional_psychology,"According to Piaget, children are ___________.",True,False
2,mmlu_professional_psychology,"If a test has a standard error of measurement of 15 points, itis correct to conclude that",False,True
3,mmlu_professional_psychology,Any substance that can have a negative impact on fetal development is ___________.,True,True
4,mmlu_professional_psychology,"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:",True,True
5,mmlu_professional_psychology,Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as:,True,False
6,mmlu_professional_psychology,"In regard to memory, aging is most closely associated with a decline in",True,True
7,mmlu_professional_psychology,"A 66-year-old client who is depressed, has rhythmic hand movements, and has a flattened affect is probably suffering from",False,False
8,mmlu_professional_psychology,"One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly",True,True
9,mmlu_professional_psychology,A family therapist using the structural approach of Salvador Minuchin would most likely:,False,False
10,mmlu_professional_psychology,"A researcher interested in examining the potential impact of parent alcoholism on child and family development recruits 12-year-olds (n = 100), 13-year-olds (n = 100), and 14-year-olds (n = 100)—half of whom have an alcoholic parent and half of whom do not—into a multiple-year longitudinal study assessing various outcomes. This study is best characterized as:",True,True
11,mmlu_professional_psychology,Focal damage to the portion of the left frontal lobe known as Broca's area is likely to impair,True,True
12,mmlu_professional_psychology,"According to Gerald Patterson and his colleagues (1992), which of the following is a key contributor to aggressive behavior in children?",True,False
13,mmlu_professional_psychology,A person who received a Level 4 rating on the Rancho Los Amigos Scale of Cognitive Functioning:,False,False
14,mmlu_professional_psychology,A psychologist who already has an established therapeutic relationship with a child is asked to act as an expert witness in a divorce proceeding involving custody of the child. The psychologist's best course of action would be to:,True,False
15,mmlu_professional_psychology,"Motivation is a complex process involving weighing alternatives, costs, and benefits. From your knowledge about GOAL-SETTING THEORY, which one out of the following statements is incorrect?",False,True
16,mmlu_professional_psychology,"The STATISTICS are a method of measuring variables and organizing and analyzing data statistical method can be descriptive or inferential and have a scale of measurement. From your knowledge about statistics measurement, what is the RATIO DATA?",True,False
17,mmlu_professional_psychology,"Aronson and Mills examined the effects severity of initiation into a group on subsequent attitudes toward the group. Results of their study indicated that, compared to women who underwent a mild initiation, women who underwent a severe initiation as a precondition of group membership:",True,True
