id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_security_studies,Which of these principles is not an element of the responsibility to protect?,True,False
1,mmlu_security_studies,Can environmental changes be reconciled with national security interests?,False,False
2,mmlu_security_studies,Which of the following statements could be described as a liberal perspective on future energy security?,True,False
3,mmlu_security_studies,Which of the following is a common criticism of the human security concept?,True,True
4,mmlu_security_studies,In what ways have governments responded to the threat of TNC post-Cold War?,False,True
5,mmlu_security_studies,What potential problem for policy in the institutionalization of academe-policy interaction emerged?,False,True
6,mmlu_security_studies,Which of the following is not one of the 10 steps of the Washington Consensus?,True,True
7,mmlu_security_studies,Which of the following concepts does NOT form part of the technical discourse on cyber-security?,True,False
8,mmlu_security_studies,What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,True,True
9,mmlu_security_studies,In what ways do theories of conventional and critical social constructivism differ?,True,False
10,mmlu_security_studies,"Considering commerce and marketing, which of the following present the most significant obstacle to developing IT security?",True,True
11,mmlu_security_studies,Which of the following best describes the 'Orient' according to Edward Said?,True,False
12,mmlu_security_studies,How can we best describe liberalism?,True,True
13,mmlu_security_studies,"Which of the following is not one of the unifying principles of Critical Security Studies, as defined by Krause?",True,True
14,mmlu_security_studies,"Considering 'offensive' and 'defensive realism', which of these statements is not correct?",False,False
15,mmlu_security_studies,"Following the terrorist attacks of 9/11, what is the predominant paradigm in security and threat perception and to what extent is it an adequate response?",True,False
16,mmlu_security_studies,In what ways has the concept of environmental security been contested?,True,True
17,mmlu_security_studies,How can the origins of weak state insecurity be explained?,False,False
18,mmlu_security_studies,Which of the following best describes the 'subaltern' in postcolonialism?,True,True
19,mmlu_security_studies,How do biological differences affect the roles that men and women must perform for the state?,True,True
20,mmlu_security_studies,"According to motivational realism, what might inspire the behaviour of so called 'greedy states'?",False,True
21,mmlu_security_studies,In which year was the seminal Human Development Report published?,False,True
22,mmlu_security_studies,What does it mean to be secure?,True,True
23,mmlu_security_studies,What has been the effect of biological weapons on national security in the international community?,True,True
24,mmlu_security_studies,How are US 'military moms' important to a critical reading of security?,True,True
