id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_sociology,Mass-society theory suggests that:,False,False
1,mmlu_sociology,The ecological approach to urban sociology involved studying:,True,True
2,mmlu_sociology,Becker proclaimed that cannabis use was:,False,True
3,mmlu_sociology,The middle classes that developed over the nineteenth century were:,True,True
4,mmlu_sociology,Technological forms of surveillance have made it easier to:,True,True
5,mmlu_sociology,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,True,False
6,mmlu_sociology,There was a growth in income inequality in the 1980s because:,False,False
7,mmlu_sociology,"If a deviant act is 'normalized', it is:",False,True
8,mmlu_sociology,"In the debate about the 'managerial revolution', John Scott (1997) argued that:",True,False
9,mmlu_sociology,Marxist feminists explain patriarchy in terms of:,False,False
10,mmlu_sociology,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':,True,True
11,mmlu_sociology,Anti-psychiatrists like Laing & Esterson believed that:,False,True
12,mmlu_sociology,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,True,False
13,mmlu_sociology,"In contemporary societies, social institutions are:",True,True
14,mmlu_sociology,The term 'emotion work' (Hochschild 1983) refers to:,True,True
15,mmlu_sociology,"When sociologists study the structure of layers in society and people's movement between them, they call this:",True,True
16,mmlu_sociology,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...",True,False
17,mmlu_sociology,An ecclesia is:,True,False
18,mmlu_sociology,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",False,False
19,mmlu_sociology,Sutherland's study of the 'professional thief' suggested that:,True,True
20,mmlu_sociology,Which of the following policies did the New Labour government not pursue?,False,False
21,mmlu_sociology,"Stone's research suggests that prior to industrialization, the nuclear family:",False,False
22,mmlu_sociology,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?",True,True
23,mmlu_sociology,Mosca and Pareto identified the ruling elite as:,False,True
24,mmlu_sociology,Bourdieu attributed the reproduction of class to:,False,True
25,mmlu_sociology,Secularization involves the two related ideas of:,True,True
26,mmlu_sociology,The general fertility rate fell between 1964 and 2000 because of:,True,False
27,mmlu_sociology,Howard's idea of the garden city consisted of:,True,False
28,mmlu_sociology,The 'third age' of the life course is said to involve:,True,False
29,mmlu_sociology,Weber (1919) said that the state's monopoly of the use of force was legitimated by:,True,True
30,mmlu_sociology,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:,False,True
31,mmlu_sociology,The shift from custodial to joint parenthood after divorce means that:,True,True
32,mmlu_sociology,Émile Durkheim believed the primary focus of sociology should be which of the following?,True,True
33,mmlu_sociology,"The term ""sociology"" was coined in the early 1800s by which of the following?",True,False
34,mmlu_sociology,"In their study of depression, Brown & Harris (1978) found that:",True,True
35,mmlu_sociology,The alternative form of 'network organization' means that:,True,False
36,mmlu_sociology,Margaret Mead suggested that:,True,True
37,mmlu_sociology,The term 'secondary deviation' refers to:,True,True
38,mmlu_sociology,The effect of the Internet upon the public sphere has been to:,False,True
39,mmlu_sociology,Weber said that the 'spirit of capitalism' could be traced back to:,True,False
40,mmlu_sociology,The terms 'crisis of the 1970s' is used to refer to:,True,True
41,mmlu_sociology,The Macpherson Report highlighted the increasing problem of:,False,True
42,mmlu_sociology,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?,False,False
43,mmlu_sociology,Environmentalist social movements are global in the sense that:,True,True
44,mmlu_sociology,Chodorow (1978) argued that gender socialization occurred through:,True,False
45,mmlu_sociology,The 'new man' of the 1980s was alleged to be:,True,False
46,mmlu_sociology,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:",False,True
47,mmlu_sociology,"In idealized views of science, the experimental method is said to involve:",True,True
48,mmlu_sociology,An 'open' society is one that:,False,True
49,mmlu_sociology,The Nation of Islam group appealed to:,False,True
50,mmlu_sociology,Comte's term 'positivism' refers to:,False,False
51,mmlu_sociology,Theories of racialized discourse suggest that:,True,True
52,mmlu_sociology,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?",False,False
53,mmlu_sociology,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?,True,False
54,mmlu_sociology,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery",True,False
55,mmlu_sociology,Pluralist theories suggest that:,False,False
56,mmlu_sociology,The term 'over-urbanization' means that:,True,False
57,mmlu_sociology,The capitalist class of the mid-twentieth century were said to join the upper class because they:,False,False
58,mmlu_sociology,The term inter-generational mobility refers to:,False,True
59,mmlu_sociology,"The term 'culture industry', used by members of the Frankfurt School, referred to:",True,True
60,mmlu_sociology,"According to Hakim (1995, 1996), the majority of part-time work is done by women because:",False,False
61,mmlu_sociology,A sect is organised around:,False,True
62,mmlu_sociology,What is the name of the process by which we acquire a sense of identity and become members of society?,True,True
63,mmlu_sociology,Pre-testing a questionnaire is useful for:,True,True
64,mmlu_sociology,Judith Butler (1999) suggested that:,True,True
65,mmlu_sociology,Patterns of drug use in Britain reveal that:,True,True
66,mmlu_sociology,Murray thought that the 'underclass' consisted of people who:,True,True
67,mmlu_sociology,"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?",False,False
68,mmlu_sociology,"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by",True,True
69,mmlu_sociology,Role-learning theory suggests that,True,False
70,mmlu_sociology,Post-modernist writers have argued that:,False,False
71,mmlu_sociology,"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?",True,True
72,mmlu_sociology,Warner's study of the city of Natchez in the American Deep South showed that the 'colour line' there was:,False,True
73,mmlu_sociology,The social construction of childhood can be traced back to:,True,True
74,mmlu_sociology,"In Marx's theory, the 'mode of production' means:",True,False
75,mmlu_sociology,The trend of decarceration involves:,True,True
76,mmlu_sociology,The work of Smart suggested that:,False,False
77,mmlu_sociology,Allen's (2001) study of nurses showed that:,False,True
78,mmlu_sociology,Which of the following best describes the practice of placing the blame for the problems of a society on one particular group?,True,True
