id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_us_foreign_policy,What is the structure of the United Nations Security Council?,True,False
1,mmlu_us_foreign_policy,What was the significance of the Gulf of Tonkin resolution?,True,False
2,mmlu_us_foreign_policy,Which is not a nonstate actor that poses a threat to the United States?,True,False
3,mmlu_us_foreign_policy,Who was the first American president to visit communist China?,True,True
4,mmlu_us_foreign_policy,The Strategic Arms Reduction Treaty was the first accord,False,True
5,mmlu_us_foreign_policy,What were the implications of the Cold War for American exceptionalism?,True,True
6,mmlu_us_foreign_policy,Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,True,False
7,mmlu_us_foreign_policy,What was the 'New Populism'?,True,True
8,mmlu_us_foreign_policy,How did World War I shift economic power from Europe to the United States?,True,True
9,mmlu_us_foreign_policy,"In American government, the power to declare war rests with",True,False
10,mmlu_us_foreign_policy,How did the Cold War context shape US perceptions of the Third World?,True,True
11,mmlu_us_foreign_policy,What was unique about the NATO intervention in Kosovo?,False,False
12,mmlu_us_foreign_policy,"What, according to Systemic theories, is the primary determinant of a state's foreign policy?",True,True
13,mmlu_us_foreign_policy,Why is there so much uncertainty over which states have nuclear weapons?,True,True
14,mmlu_us_foreign_policy,"Within American politics, the power to accord official recognition to other countries belongs to",False,True
15,mmlu_us_foreign_policy,What did the Moscow Treaty on Strategic Offensive Reductions do?,True,True
16,mmlu_us_foreign_policy,What were the 'open-door notes'?,True,False
17,mmlu_us_foreign_policy,"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",True,True
18,mmlu_us_foreign_policy,Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991?,True,True
19,mmlu_us_foreign_policy,Why do Liberal Internationalists argue that international institutions are important to US grand strategy?,True,True
20,mmlu_us_foreign_policy,What was the significance of the Truman Doctrine?,False,False
21,mmlu_us_foreign_policy,What tend to be the effects of oil and other natural resource trade on developing states?,True,False
22,mmlu_us_foreign_policy,The dominant course for foreign policy throughout most of American history can be categorized as,False,False
23,mmlu_us_foreign_policy,What led Britain to impose new taxes on their American colonies?,False,True
24,mmlu_us_foreign_policy,"Who said ""Globalization is not something we can hold off or turn off. It is the economic equivalent of a force of nature-like wind or water""?",False,False
25,mmlu_us_foreign_policy,"The idea that war is ""the continuation of politics by other means"" helps to capture",False,True
26,mmlu_us_foreign_policy,What are the key elements of the Liberal approach to US foreign policy?,True,True
27,mmlu_us_foreign_policy,What was the key difference between US expansion pre- and post- 1865?,False,False
28,mmlu_us_foreign_policy,What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech?,True,True
29,mmlu_us_foreign_policy,"Within the United Nations, real power is located in",True,True
30,mmlu_us_foreign_policy,"In general, how do conservatives and liberals differ when it comes to defense spending?",False,True
31,mmlu_us_foreign_policy,Intergovernmental organizations SELDOM do which of the following?,True,False
32,mmlu_us_foreign_policy,Which of the following are possible constraints on US foreign policy decision making?,True,True
33,mmlu_us_foreign_policy,What is direct diplomacy?,True,False
34,mmlu_us_foreign_policy,What was the Clinton Administration's policy on the Russian economy?,False,True
35,mmlu_us_foreign_policy,How many major powers are there in a multipolar system?,True,True
36,mmlu_us_foreign_policy,Why did Americans believe that they could found a different kind of empire after 1776?,True,False
37,mmlu_us_foreign_policy,The trade-off between defense and social spending is often referred to as a choice between,True,True
38,mmlu_us_foreign_policy,What did Charles Krauthammer mean by a 'unipolar moment' when describing the post-Cold War system?,True,True
39,mmlu_us_foreign_policy,"Which of the following considers it immoral to use force abroad to do good things (such human rights protection, democracy, etc)?",True,False
40,mmlu_us_foreign_policy,"According to realists, what is the fundamental difference between the international system and the domestic system?",True,True
41,mmlu_us_foreign_policy,Which is NOT a reason for why intergovernmental organizations are ineffective at promoting human rights?,False,False
42,mmlu_us_foreign_policy,Why might the 'Philadelphian System' be linked to the idea of American exceptionalism?,False,False
43,mmlu_us_foreign_policy,Which of the following are possible constraints on US foreign policy decision making?,True,True
44,mmlu_us_foreign_policy,"Détente, or the relaxing of tensions coupled with firm guarantees of mutual security, represented a shift in American foreign policy toward the communist world ushered in by",True,False
45,mmlu_us_foreign_policy,Which of these is not a component of the 'American Creed'?,True,True
46,mmlu_us_foreign_policy,"During the early years of his administration, Reagan's foreign and defense policies emphasized",True,True
47,mmlu_us_foreign_policy,The Vietnam War can be understood as,True,True
48,mmlu_us_foreign_policy,The departments of the executive branch that assist the president in designing and carrying out U.S. foreign policy are known as,False,True
49,mmlu_us_foreign_policy,The largest increase in peacetime defense spending in American history occurred under which president?,True,True
50,mmlu_us_foreign_policy,What caused a public uproar involving the National Security Agency in 2005?,True,True
51,mmlu_us_foreign_policy,What was the Marshall Plan?,True,True
52,mmlu_us_foreign_policy,Bureaucratic politics suggests we should be worried about which of the following with regard to nuclear weapons?,True,True
53,mmlu_us_foreign_policy,"According to International Institutionalists, what problems have international institutions been designed to address?",True,True
54,mmlu_us_foreign_policy,What was meant by the term 'New World Order'?,True,True
55,mmlu_us_foreign_policy,The best known and perhaps most important international organization is,True,True
56,mmlu_us_foreign_policy,What was meant by the term 'American multiplication table'?,True,False
57,mmlu_us_foreign_policy,Global and regional international trade agreements work by using which of the following mechanisms?,True,True
58,mmlu_us_foreign_policy,Why did Lincoln oppose the southward expansion of the US?,True,True
59,mmlu_us_foreign_policy,Growing tension between the United States and the Soviet Union resulted in a policy that John Foster Dulles referred to as,True,True
60,mmlu_us_foreign_policy,Why do some scholars claim that Reagan 'won the Cold War'?,True,True
61,mmlu_us_foreign_policy,What is the implication of American exceptionalism in terms of global economics?,False,True
62,mmlu_us_foreign_policy,"What were the primary institutions of the liberal international economic order?
I. GATT
II. IMF
III. World Bank
IV. NATO",True,True
