id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_virology,How many human polyomaviruses are known at present?,False,False
1,mmlu_virology,AIDS activism in the U.S. resulted in:,True,True
2,mmlu_virology,"Globally, the most deaths are caused by:",False,False
3,mmlu_virology,What happens during the 'incubation period'?,False,False
4,mmlu_virology,Newborn infants in countries with limited access to safe water and low levels of education should be:,True,True
5,mmlu_virology,Achieving effective change in a community is usually dependent on which of the following segments of society?,True,False
6,mmlu_virology,“Contingency management” is”:,False,False
7,mmlu_virology,Typical clinical symptoms following infection with astroviruses include which of the following?,True,True
8,mmlu_virology,Which of the following is the most special characteristic of the adaptive immune system?,False,True
9,mmlu_virology,Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,False,False
10,mmlu_virology,"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",False,False
11,mmlu_virology,How were retroviruses discovered?,False,True
12,mmlu_virology,Most surveillance systems use which of the following study designs?,True,False
13,mmlu_virology,Polio can be eradicated by which of the following?,True,False
14,mmlu_virology,Public health ethics is:,True,False
15,mmlu_virology,How many people globally are currently infected with hepatitis B?,True,False
16,mmlu_virology,"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",True,False
17,mmlu_virology,Which disease do polyomaviruses predominantly cause?,False,False
18,mmlu_virology,How are antibody producing cells stimulated?,True,False
19,mmlu_virology,The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,True,True
20,mmlu_virology,Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,False,False
21,mmlu_virology,Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,True,False
22,mmlu_virology,Which virus infection was not first identified by clinical observation?,True,False
23,mmlu_virology,The particular quality of the U.S. health care system is its:,True,False
24,mmlu_virology,The three key intervention strategies according to Professor Shoptaw are:,True,True
25,mmlu_virology,Measles has been controlled in many countries by which of the following?,True,False
26,mmlu_virology,How can the spread of filoviruses be restricted?,False,True
27,mmlu_virology,Most pandemics have arisen from influenza viruses from which of the following animals?,True,False
28,mmlu_virology,PreP is an effective strategy for reducing the incidence of HIV in:,False,False
29,mmlu_virology,The replication of hepatitis B includes which of the following stages?,False,False
30,mmlu_virology,How does the papilloma family of viruses cause cancer?,False,False
31,mmlu_virology,The noroviruses typically cause which of the following?,True,True
32,mmlu_virology,Deep nucleotide sequencing (NGS) is now cheap enough for general application. What will the technique mainly be useful for?,False,False
33,mmlu_virology,Determinants of acquiring an HIV infection from an infected person per sexual act include:,True,True
34,mmlu_virology,How is next generation sequencing (NGS) most often used?,False,False
35,mmlu_virology,Which of the following HPV viruses are known to cause cervical cancer?,False,False
36,mmlu_virology,Which member of the paramyxovirus family can cause very serious croup?,True,False
37,mmlu_virology,Which of the following is the cause of delay in HIV testing among the Latino population?,True,True
38,mmlu_virology,Describe the morphology of a togavirus.,True,True
39,mmlu_virology,A good surveillance system should provide information about:,True,True
40,mmlu_virology,What has so far prevented polio being eradicated from the world?,True,False
41,mmlu_virology,The range of disease caused by the family is wide but identify the exception from the following:,True,True
42,mmlu_virology,Which of the following drugs inhibit herpes viruses?,False,False
43,mmlu_virology,The three countries with the most drug injectors are:,False,True
44,mmlu_virology,"Officials at a large community hospital report an increased incidence of acute lymphocytic leukemia (ALL) among children aged 5 – 12. They point out that some households in the community are exposed to chemical waste from a nearby factory. They believe that chemical waste causes leukemia. If a study is designed to evaluate the hospital officials’ claim, which of the following subjects are most likely to comprise the control group?",True,True
45,mmlu_virology,Lassa and Ebola are emergent viruses in W. Africa. What is their origin?,False,False
46,mmlu_virology,Antivirals can be used prophylactically or therapeutically in persons in which of the following circumstances?,False,False
47,mmlu_virology,Papillomaviruses cause warts and cancer but how do they most often infect humans?,True,True
48,mmlu_virology,There are 57 serotypes of adenovirus currently recognised. Which has the most important clinical impact?,False,True
49,mmlu_virology,How are new polyomaviruses detailed,True,False
50,mmlu_virology,Describe the YF vaccine.,False,False
51,mmlu_virology,What is the biggest risk factor for infection with Ebola?,False,True
52,mmlu_virology,"The influenza virus is mainly controlled in special ""risk"" sectors by:",False,False
53,mmlu_virology,"A case-control study is conducted to assess the association between alcohol consumption and lung cancer patients with lung cancer and 100 controls are asked about their past alcohol consumption. According to the study results, alcohol consumption is strongly associated with lung cancer (OR = 2.5). The researchers then divide the study subjects into two groups: smokers and non-smokers. Subsequent statistical analysis does not reveal any association between alcohol consumption and lung cancer within either group. The scenario described is an example of which of the following?",True,True
54,mmlu_virology,How are arenaviruses spread?,False,False
55,mmlu_virology,Which areas of the world are rabies free?,False,True
56,mmlu_virology,The risk of perinatal transmission of HIV-1 infection during breast feeding is increased due to:,True,True
57,mmlu_virology,How is the parvovirus family targeted to reduce disease?,True,False
58,mmlu_virology,Who discovered the first virus?,False,False
59,mmlu_virology,Structural interventions typically target:,False,True
60,mmlu_virology,What is the main clinical picture of hepatitis A?,True,True
61,mmlu_virology,If the human norovirus cannot be cultured in cell cultures how can it best be studied?,False,False
62,mmlu_virology,"Any systematic error in the design, conduct, or analysis of a study that results in a mistaken estimate of an exposure’s effect on the risk of disease is called:",False,False
63,mmlu_virology,Describe the coronavirus structure.,False,False
64,mmlu_virology,SARS is described as a zoonotic virus - what does this mean?,False,False
65,mmlu_virology,Which of the following coronaviruses has caused thousands of deaths around the world as an 'emergent' virus?,True,False
66,mmlu_virology,Clinical infection by an arenavirus is characterised by which one of the following?,True,True
67,mmlu_virology,How does rubella cause foetal abnormalities?,True,True
68,mmlu_virology,Which of the following is an unusual feature of the replication cycle in coronaviruses?,False,True
69,mmlu_virology,Which replication strategy is paralleled by some other viruses?,False,False
70,mmlu_virology,The characteristic of a generalized epidemic is:,False,False
71,mmlu_virology,An updated version of classification shows the parvovirus family as having how many genera?,False,False
72,mmlu_virology,The largest Latino community in the U.S. is:,True,True
73,mmlu_virology,How can epidemics of astrovirus mainly be controlled?,False,False
